Generation,Diversity
1,33
2,27
3,22
4,17
5,9
6,6
7,5
8,3
9,2
10,2
11,2
12,1
13,2
14,2
15,2
16,3
17,2
18,3
19,1
20,2
21,2
22,3
23,3
24,3
25,2
26,1
27,2
28,2
29,2
30,2
31,2
32,2
33,1
34,3
35,4
36,4
37,3
38,2
39,3
40,2
41,1
42,5
43,1
44,1
45,4
46,2
47,3
48,4
49,3
50,2
51,1
52,2
53,2
54,1
55,2
56,2
57,2
58,2
59,2
60,3
61,2
62,1
63,3
64,2
65,2
66,2
67,3
68,2
69,3
70,1
71,3
72,2
73,3
74,2
75,2
76,2
77,2
78,2
79,1
80,1
81,4
82,2
83,2
84,2
85,1
86,3
87,2
88,3
89,2
90,3
91,2
92,3
93,1
94,2
95,3
96,2
97,3
98,4
99,1
