Generation,Diversity
1,34
2,26
3,24
4,25
5,21
6,22
7,22
8,19
9,19
10,19
11,17
12,15
13,17
14,13
15,17
16,15
17,21
18,18
19,17
20,18
21,25
22,24
23,22
24,27
25,24
26,25
27,25
28,27
29,25
30,23
31,29
32,29
33,28
34,28
35,28
36,31
37,32
38,28
39,29
40,33
41,32
42,24
43,23
44,28
45,23
46,24
47,21
48,17
49,17
50,22
51,22
52,17
53,22
54,21
55,24
56,21
57,26
58,20
59,24
60,23
61,21
62,24
63,19
64,22
65,17
66,22
67,18
68,22
69,21
70,24
71,27
72,25
73,25
74,21
75,17
76,21
77,17
78,12
79,13
80,12
81,8
82,5
83,3
84,2
85,2
86,2
87,1
88,1
89,3
90,3
91,5
92,5
93,2
94,3
95,3
96,1
97,2
98,1
99,5
