Generation,Diversity
1,13
2,14
3,15
4,17
5,12
6,18
7,17
8,13
9,15
10,16
11,11
12,11
13,13
14,15
15,14
16,16
17,14
18,16
19,15
20,17
21,14
22,12
23,10
24,14
25,16
26,14
27,17
28,13
29,15
30,18
31,15
32,13
33,16
34,12
35,17
36,13
37,16
38,15
39,14
40,15
41,17
42,17
43,15
44,17
45,17
46,17
47,12
48,14
49,14
50,14
51,12
52,10
53,9
54,18
55,16
56,13
57,14
58,13
59,14
60,18
61,15
62,18
63,15
64,15
65,18
66,12
67,23
68,17
69,17
70,13
71,13
72,17
73,19
74,15
75,19
76,16
77,17
78,14
79,15
80,17
81,16
82,16
83,14
84,13
85,20
86,15
87,17
88,17
89,14
90,14
91,19
92,15
93,14
94,18
95,16
96,20
97,14
98,18
99,21
