Generation,Best,Worse,Average
1,25.9258,7.85861e+07,6.95284e-310
2,25.9258,3.47087e+14,1.61235e+06
3,25.9258,1.68088e+06,6.80562e+12
4,25.9258,8067.21,33024.1
5,25.9258,2893.52,246.095
6,25.9258,70.3791,141.458
7,25.9258,2893.52,28.0684
8,25.9258,6875.5,82.6242
9,25.9258,857.827,164.267
10,25.9258,2893.52,46.5315
11,25.9258,25.9258,82.2073
12,25.9258,28.477,25.9258
13,25.9258,39.082,26.0759
14,25.9258,25.9258,26.1837
15,25.9258,25.9258,25.9258
16,25.9258,122.71,25.9258
17,25.9258,2893.52,27.8235
18,25.9258,25.9258,97.513
19,25.9258,25.9258,25.9258
20,25.9258,953.579,25.9258
21,25.9258,8067.21,50.0488
22,25.9258,25.9258,366.45
23,25.9258,762.207,25.9258
24,25.9258,2887.39,40.3627
25,25.9258,2893.52,100.572
26,25.9258,6875.5,82.1531
27,25.9258,321.186,216.862
28,25.9258,204.366,31.7152
29,25.9258,34.2393,29.4246
30,25.9258,231.761,26.1934
31,25.9258,356.882,29.9618
32,25.9258,26.7644,32.4151
33,25.9258,953.579,26.1934
34,25.9258,39.082,44.3827
35,25.9258,2893.52,26.1837
36,25.9258,2893.52,82.1531
37,25.9258,25.9258,82.5028
38,25.9258,2887.39,25.9258
39,25.9258,356.882,126.812
40,25.9258,321.186,32.4151
41,25.9258,857.827,31.7152
42,25.9258,8067.21,42.3343
43,25.9258,34.2393,183.707
44,25.9258,2893.52,26.1934
45,25.9258,1370.81,153.03
46,25.9258,2887.39,52.554
47,25.9258,39.082,82.3006
48,25.9258,25.9258,26.1837
49,25.9258,25.9258,25.9258
50,25.9258,122.71,25.9258
51,25.9258,2295.99,27.8235
52,25.9258,953.579,96.8071
53,25.9258,39.082,44.3827
54,25.9258,231.761,26.1837
55,25.9258,857.827,30.2294
56,25.9258,514.022,42.2376
57,25.9258,25.9258,35.4963
58,25.9258,2887.39,25.9258
59,25.9258,356.882,83.9307
60,25.9258,857.827,32.4151
61,25.9258,30.8599,42.35
62,25.9258,204.366,26.0225
63,25.9258,25.9258,29.4246
64,25.9258,1370.81,25.9258
65,25.9258,25.9258,52.5637
66,25.9258,231.761,25.9258
67,25.9258,34.2393,29.9618
68,25.9258,8067.21,26.1934
69,25.9258,122.71,183.598
70,25.9258,1370.81,27.8235
71,25.9258,122.71,52.554
72,25.9258,514.022,27.8235
73,25.9258,122.71,35.4963
74,25.9258,953.579,28.0912
75,25.9258,122.71,44.1151
76,25.9258,356.882,27.9359
77,25.9258,953.579,36.4511
78,25.9258,25.9258,44.373
79,25.9258,953.579,25.9258
80,25.9258,25.9258,44.1151
81,25.9258,43.7643,25.9258
82,25.9258,25.9258,26.2756
83,25.9258,1370.81,25.9258
84,25.9258,25.9258,54.1938
85,25.9258,25.9258,25.9258
86,25.9258,39.082,25.9258
87,25.9258,2295.99,26.2962
88,25.9258,25.9258,72.3346
89,25.9258,25.9258,25.9258
90,25.9258,1370.81,25.9258
91,25.9258,514.022,52.296
92,25.9258,231.761,35.4963
93,25.9258,25.9258,29.9618
94,25.9258,28.477,25.9258
95,25.9258,43.7643,25.9758
96,25.9258,43.7643,26.2756
97,25.9258,2295.99,26.2756
98,25.9258,762.207,70.7866
99,25.9258,356.882,40.6303
