Generation,Diversity
1,35
2,33
3,25
4,24
5,18
6,20
7,25
8,26
9,29
10,29
11,31
12,35
13,33
14,25
15,33
16,30
17,36
18,32
19,31
20,34
21,34
22,37
23,34
24,31
25,34
26,33
27,30
28,30
29,31
30,31
31,33
32,33
33,32
34,32
35,34
36,31
37,35
38,28
39,30
40,29
41,28
42,32
43,31
44,35
45,29
46,29
47,29
48,28
49,34
50,32
51,31
52,31
53,32
54,30
55,27
56,33
57,39
58,37
59,37
60,38
61,33
62,38
63,38
64,37
65,39
66,37
67,36
68,36
69,36
70,33
71,33
72,35
73,35
74,36
75,38
76,40
77,37
78,40
79,39
80,34
81,31
82,37
83,39
84,38
85,38
86,40
87,39
88,37
89,36
90,37
91,33
92,33
93,31
94,29
95,21
96,17
97,18
98,15
99,16
