Generation,Diversity
1,37
2,33
3,28
4,26
5,22
6,17
7,21
8,21
9,21
10,21
11,24
12,27
13,29
14,23
15,25
16,19
17,18
18,23
19,26
20,24
21,28
22,28
23,28
24,29
25,26
26,23
27,18
28,23
29,25
30,30
31,33
32,34
33,32
34,35
35,38
36,35
37,32
38,28
39,31
40,28
41,29
42,23
43,27
44,26
45,30
46,28
47,32
48,27
49,31
50,28
51,27
52,29
53,33
54,26
55,31
56,23
57,24
58,28
59,28
60,28
61,26
62,26
63,26
64,22
65,25
66,26
67,22
68,22
69,26
70,24
71,21
72,22
73,22
74,23
75,19
76,22
77,24
78,27
79,24
80,29
81,22
82,20
83,22
84,23
85,26
86,20
87,24
88,19
89,22
90,20
91,24
92,30
93,27
94,29
95,31
96,23
97,21
98,27
99,28
