Gerneration,Depth average
1,4.94118
2,4.7451
3,4.94118
4,4.94118
5,4.86275
6,4.96078
7,5.07843
8,4.84314
9,5.01961
10,4.88235
11,4.80392
12,4.90196
13,4.76471
14,4.78431
15,5.09804
16,4.70588
17,4.90196
18,4.90196
19,4.90196
20,4.94118
21,4.86275
22,4.86275
23,4.92157
24,4.84314
25,5.03922
26,4.90196
27,5.11765
28,4.92157
29,4.82353
30,5.11765
31,4.84314
32,4.96078
33,4.94118
34,4.78431
35,4.98039
36,4.86275
37,4.78431
38,5.03922
39,4.96078
40,4.86275
41,5.05882
42,5
43,4.84314
44,4.76471
45,4.90196
46,5
47,4.72549
48,4.94118
49,5
50,4.94118
51,4.96078
52,4.86275
53,5.01961
54,5.60784
55,5.72549
56,5.76471
57,5.7451
58,5.78431
59,5.78431
60,5.54902
61,5.78431
62,5.60784
63,5.52941
64,5.68627
65,5.56863
66,5.52941
67,5.78431
68,5.64706
69,5.78431
70,5.76471
71,5.72549
72,5.78431
73,5.45098
74,5.70588
75,5.66667
76,5.80392
77,5.80392
78,5.76471
79,5.70588
80,5.33333
81,5.62745
82,5.82353
83,5.78431
84,5.72549
85,5.82353
86,5.39216
87,5.56863
88,5.47059
89,5.5098
90,5.86275
91,5.66667
92,5.70588
93,5.7451
94,5.56863
95,5.80392
96,5.43137
97,5.64706
98,5.66667
99,5.62745
