Generation,Diversity
1,38
2,26
3,18
4,16
5,12
6,7
7,7
8,6
9,6
10,5
11,8
12,10
13,8
14,8
15,6
16,6
17,6
18,5
19,7
20,5
21,7
22,5
23,6
24,6
25,5
26,6
27,5
28,6
29,6
30,5
31,6
32,6
33,8
34,5
35,5
36,4
37,4
38,7
39,6
40,6
41,6
42,4
43,6
44,7
45,8
46,8
47,6
48,8
49,9
50,9
51,9
52,8
53,9
54,7
55,8
56,4
57,6
58,8
59,4
60,6
61,6
62,7
63,4
64,4
65,4
66,4
67,5
68,6
69,4
70,8
71,5
72,5
73,7
74,7
75,5
76,7
77,5
78,6
79,5
80,6
81,6
82,5
83,6
84,5
85,4
86,4
87,5
88,5
89,6
90,6
91,6
92,7
93,7
94,6
95,7
96,7
97,5
98,5
99,6
