Gerneration,Depth average
1,4.03922
2,3.88235
3,4.70588
4,5.4902
5,5.86275
6,5.78431
7,6.07843
8,6.19608
9,5.27451
10,5.45098
11,4.23529
12,3.64706
13,3.76471
14,3.92157
15,3.70588
16,3.4902
17,3.62745
18,3.66667
19,3.66667
20,3.70588
21,3.66667
22,3.76471
23,3.64706
24,3.56863
25,3.56863
26,3.54902
27,3.5098
28,3.64706
29,3.62745
30,3.64706
31,3.62745
32,3.64706
33,3.7451
34,3.68627
35,3.72549
36,3.60784
37,3.72549
38,3.60784
39,3.7451
40,3.72549
41,3.5098
42,3.5098
43,3.66667
44,3.82353
45,3.72549
46,3.78431
47,3.78431
48,3.80392
49,3.72549
50,3.7451
51,3.72549
52,3.66667
53,3.70588
54,3.70588
55,3.68627
56,3.66667
57,3.70588
58,3.58824
59,3.66667
60,3.76471
61,3.58824
62,3.64706
63,3.43137
64,3.7451
65,3.76471
66,3.70588
67,3.62745
68,3.7451
69,3.70588
70,3.72549
71,3.66667
72,3.62745
73,3.62745
74,3.58824
75,3.5098
76,3.4902
77,3.52941
78,3.56863
79,3.66667
80,3.72549
81,3.7451
82,3.62745
83,3.64706
84,3.56863
85,3.27451
86,3.2549
87,3.23529
88,3.29412
89,3.2549
90,3
91,2.96078
92,2.84314
93,2.88235
94,2.76471
95,2.78431
96,2.68627
97,2.70588
98,2.70588
99,2.80392
