Gerneration,Depth average
1,4.94118
2,4.7451
3,4.94118
4,4.94118
5,4.86275
6,4.96078
7,5.07843
8,4.98039
9,5.03922
10,5.01961
11,4.88235
12,4.80392
13,4.76471
14,5.01961
15,4.84314
16,4.86275
17,4.92157
18,4.88235
19,4.86275
20,4.90196
21,4.92157
22,4.80392
23,4.92157
24,4.86275
25,5.01961
26,4.90196
27,5.03922
28,4.98039
29,4.86275
30,4.80392
31,5.05882
32,4.96078
33,4.78431
34,4.88235
35,4.72549
36,4.92157
37,4.90196
38,4.98039
39,5.11765
40,4.76471
41,4.86275
42,4.90196
43,4.92157
44,4.98039
45,5
46,5
47,4.88235
48,4.82353
49,4.84314
50,4.90196
51,4.90196
52,5.05882
53,4.7451
54,5.66667
55,4.82353
56,4.78431
57,5
58,5
59,4.98039
60,4.72549
61,4.88235
62,4.90196
63,4.90196
64,5.01961
65,4.80392
66,4.96078
67,4.92157
68,4.84314
69,4.88235
70,5.01961
71,4.80392
72,5.01961
73,4.90196
74,4.88235
75,5.07843
76,4.94118
77,4.96078
78,4.92157
79,4.94118
80,4.96078
81,5
82,4.90196
83,5
84,4.90196
85,4.84314
86,4.86275
87,4.84314
88,5.01961
89,4.96078
90,4.92157
91,4.94118
92,4.84314
93,4.94118
94,4.98039
95,4.96078
96,4.98039
97,4.84314
98,5
99,5
