Gerneration,Depth average
1,3.88235
2,3.84314
3,3.82353
4,4.45098
5,3.62745
6,3.68627
7,3.64706
8,3.66667
9,3.7451
10,3.70588
11,3.60784
12,3.68627
13,3.58824
14,3.76471
15,3.68627
16,3.78431
17,3.82353
18,3.64706
19,3.78431
20,3.76471
21,3.80392
22,3.7451
23,3.7451
24,3.76471
25,3.54902
26,3.62745
27,3.68627
28,3.7451
29,3.60784
30,3.68627
31,3.68627
32,3.7451
33,3.66667
34,3.58824
35,3.62745
36,3.7451
37,3.70588
38,3.64706
39,3.64706
40,3.68627
41,3.68627
42,3.76471
43,3.62745
44,3.56863
45,3.70588
46,3.56863
47,3.66667
48,3.64706
49,3.52941
50,3.66667
51,3.66667
52,3.72549
53,3.72549
54,3.66667
55,3.70588
56,3.70588
57,3.58824
58,3.68627
59,3.82353
60,3.76471
61,3.60784
62,3.72549
63,3.60784
64,3.64706
65,3.58824
66,3.70588
67,3.62745
68,3.68627
69,3.7451
70,3.66667
71,3.60784
72,3.64706
73,3.68627
74,3.78431
75,3.78431
76,3.64706
77,3.84314
78,3.70588
79,3.72549
80,3.70588
81,3.78431
82,3.62745
83,3.60784
84,3.62745
85,3.7451
86,3.70588
87,3.78431
88,3.72549
89,3.60784
90,3.72549
91,3.60784
92,3.66667
93,3.7451
94,3.60784
95,3.7451
96,3.72549
97,3.56863
98,3.66667
99,3.7451
