Generation,Diversity
1,38
2,31
3,31
4,22
5,16
6,18
7,13
8,12
9,13
10,10
11,8
12,8
13,12
14,16
15,12
16,13
17,10
18,7
19,11
20,9
21,9
22,10
23,6
24,10
25,7
26,8
27,7
28,8
29,9
30,8
31,9
32,8
33,7
34,7
35,5
36,6
37,7
38,4
39,6
40,7
41,6
42,7
43,4
44,5
45,8
46,7
47,8
48,5
49,4
50,8
51,8
52,10
53,7
54,7
55,7
56,7
57,7
58,6
59,6
60,4
61,5
62,4
63,5
64,6
65,6
66,6
67,6
68,5
69,6
70,5
71,6
72,6
73,5
74,6
75,6
76,6
77,5
78,7
79,5
80,11
81,9
82,8
83,5
84,6
85,5
86,5
87,5
88,5
89,2
90,3
91,2
92,2
93,1
94,3
95,1
96,3
97,3
98,3
99,2
