Gerneration,Depth average
1,3.78431
2,2.94118
3,2.4902
4,2.2549
5,2.29412
6,2.41176
7,2.4902
8,2.94118
9,3.03922
10,4.27451
11,4.39216
12,4.52941
13,4.80392
14,4.62745
15,4.68627
16,4.47059
17,4.62745
18,4.80392
19,4.41176
20,5
21,5.76471
22,6.54902
23,6.45098
24,6.29412
25,6.15686
26,5.80392
27,6
28,5.68627
29,5.60784
30,5.47059
31,5.78431
32,5.41176
33,5.72549
34,5.68627
35,6.03922
36,6.29412
37,6.17647
38,5.84314
39,5.52941
40,6.15686
41,6.03922
42,6.19608
43,6.01961
44,5.76471
45,6.13725
46,6.27451
47,6.35294
48,6.68627
49,6.39216
50,6.70588
51,6.4902
52,6.82353
53,6.88235
54,6.70588
55,6.82353
56,6.90196
57,6.98039
58,6.70588
59,6.29412
60,5.70588
61,5.03922
62,4.92157
63,5.17647
64,6.01961
65,5.92157
66,6
67,6.09804
68,6.43137
69,5.98039
70,6.56863
71,6.33333
72,6.21569
73,5.94118
74,6.2549
75,6.17647
76,5.88235
77,6.2549
78,6.5098
79,6.70588
80,6.92157
81,6.62745
82,6.7451
83,7
84,6.82353
85,7.15686
86,7.47059
87,7.64706
88,7.27451
89,6.68627
90,7.03922
91,7.2549
92,7
93,7
94,7.01961
95,6.92157
96,6.80392
97,6.84314
98,7.01961
99,7.47059
