Generation,Best,Worse,Average
1,34.581,inf,6.95304e-310
2,34.581,6.43856e+06,inf
3,34.581,4.65599e+07,128417
4,34.581,8.29059e+08,913386
5,34.581,1.15515e+09,3.63238e+07
6,34.581,8.29059e+08,2.26557e+07
7,34.581,3.08621e+12,2.01175e+07
8,34.581,8.29059e+08,6.05256e+10
9,34.581,1.94199e+08,1.63012e+07
10,34.581,6.30674e+08,3.86539e+06
11,34.581,3.56818e+09,1.99856e+07
12,34.581,1.04688e+09,9.7935e+07
13,34.581,1.15515e+09,1.0097e+08
14,34.581,1.94199e+08,3.41353e+07
15,34.581,8.29059e+08,1.90415e+07
16,34.581,8.29059e+08,3.6506e+07
17,34.581,8.29059e+08,8.02566e+07
18,34.581,8.29059e+08,8.4401e+07
19,34.581,8.29059e+08,5.63926e+07
20,34.0681,1.94199e+08,6.40078e+07
21,34.0681,1.04688e+09,1.24328e+07
22,34.0681,8.29059e+08,4.15218e+07
23,34.0681,1.04688e+09,2.00798e+07
24,34.0681,3.55e+09,8.65458e+07
25,34.0681,8.29059e+08,9.16341e+07
26,34.0681,3.56045e+09,2.01545e+07
27,34.0681,8.96349e+08,9.01635e+07
28,34.0681,1.92781e+08,6.97665e+07
29,31.8014,8.23904e+08,4.14707e+06
30,31.8014,184718,2.67598e+07
31,31.8014,8.96349e+08,7650.45
32,31.8014,3.00117e+09,5.00623e+07
33,31.8014,4.08622e+08,7.51411e+07
34,31.8014,5.56865e+08,8.02012e+06
35,31.6967,5.96226e+06,1.50208e+07
36,31.6967,4.24963e+07,120220
37,31.6967,6.88978e+08,835201
38,31.6967,4.08622e+08,1.35157e+07
39,31.6967,3.90746e+09,8.03964e+06
40,31.6967,4.24963e+07,8.49561e+07
41,30.7688,5.65882e+10,1.15418e+06
42,30.7688,1.83559e+07,1.21975e+09
43,30.4225,1.26198e+08,361098
44,30.4225,114027,2.48276e+06
45,30.4225,37043.5,5991.02
46,30.4225,1.70559e+14,790.246
47,30.4225,4.00018e+08,3.34429e+12
48,30.4225,1.63699e+07,7.84925e+06
49,30.4225,1.91139e+09,321178
50,30.4225,4.17509e+08,4.56693e+07
51,30.4225,383550,9.67475e+06
52,30.4225,91.75,9584.18
53,30.4225,20891.4,35.9494
54,30.4225,384152,695.151
55,30.4162,6.20495e+08,8344.68
56,30.4162,1.70559e+14,1.21953e+07
57,30.4162,4.44983e+06,3.3443e+12
58,30.4162,326310,114559
59,30.4162,4.17509e+08,7166.54
60,30.4162,229464,8.19003e+06
61,30.4162,3.44659e+08,10445.2
62,30.4162,4.44983e+06,6.76363e+06
63,30.4162,4446.58,88778.9
64,30.4162,4.36312e+08,121.43
65,30.4162,2.11421e+06,8.56199e+06
66,30.4162,3.79453e+07,41511.5
67,30.4162,2.39139e+08,757755
68,30.4162,3.44659e+08,4.77619e+06
69,30.4073,6.31467e+07,6.76945e+06
70,30.4073,1.80776e+06,1.32621e+06
71,30.4073,20488.3,35691.7
72,27.7566,6.31467e+07,471.444
73,27.7566,88028.4,1.33553e+06
74,27.7566,4.44441e+06,3793.44
75,27.7566,8099.1,90829.4
76,27.7566,3.90557e+07,194.052
77,27.7566,1426.84,765852
78,27.7566,257.383,62.0935
79,27.7566,266.68,37.3707
80,27.7566,474067,39.4128
81,27.7566,380268,16846.8
82,27.7566,266.68,7485.29
83,27.7566,1453.88,37.2224
84,27.7566,1453.88,60.4047
85,27.7566,257.383,55.7199
86,27.7566,266.68,36.7616
87,27.7566,27.7566,32.4414
88,27.7566,27.7566,27.7566
89,18.5277,1453.88,27.7566
90,18.5277,1453.88,55.5389
91,18.5277,1453.88,55.5389
92,18.5277,879.684,63.6404
93,18.5277,27.7566,48.9055
94,18.5277,144.152,23.5946
95,18.5277,879.684,23.8863
96,18.5277,18.5277,36.137
97,18.5277,879.684,18.5277
98,18.5277,18.5277,35.4131
99,18.5277,879.684,18.5277
