Gerneration,Depth average
1,4.17647
2,4.03922
3,3.88235
4,4.17647
5,3.70588
6,3.84314
7,3.96078
8,4.66667
9,5.52941
10,5.96078
11,6.60784
12,7.07843
13,7.13725
14,7.45098
15,7.47059
16,7.21569
17,7.19608
18,7.09804
19,7.05882
20,7.29412
21,7.17647
22,7.66667
23,7.60784
24,7.80392
25,7.64706
26,7.80392
27,7.56863
28,7.76471
29,7.98039
30,8.13725
31,8.27451
32,8.03922
33,8.17647
34,8.03922
35,7.80392
36,7.58824
37,7.56863
38,7.78431
39,7.56863
40,7.31373
41,7.35294
42,7.72549
43,7.86275
44,8.03922
45,7.80392
46,7.72549
47,7.68627
48,8.01961
49,8.13725
50,8
51,7.98039
52,8.07843
53,7.82353
54,7.90196
55,7.78431
56,7.88235
57,7.94118
58,8.07843
59,7.94118
60,7.94118
61,7.76471
62,7.98039
63,7.98039
64,8.45098
65,8.56863
66,8.90196
67,8.98039
68,9.07843
69,8.64706
70,8.54902
71,8.5098
72,8.43137
73,9
74,8.82353
75,8.86275
76,9.33333
77,9.17647
78,9.03922
79,8.98039
80,9.23529
81,8.70588
82,8.70588
83,8.82353
84,8.62745
85,8.78431
86,8.52941
87,8.66667
88,8.37255
89,7.66667
90,8
91,7.54902
92,7.29412
93,5.82353
94,4.68627
95,3.92157
96,3.31373
97,3.39216
98,3.54902
99,3.82353
