Generation,Diversity
1,35
2,32
3,31
4,24
5,16
6,12
7,9
8,4
9,3
10,2
11,2
12,2
13,2
14,2
15,2
16,2
17,3
18,4
19,2
20,1
21,2
22,2
23,3
24,3
25,6
26,7
27,4
28,2
29,6
30,3
31,1
32,2
33,1
34,3
35,1
36,3
37,3
38,2
39,2
40,2
41,1
42,2
43,1
44,2
45,1
46,1
47,2
48,3
49,3
50,5
51,3
52,3
53,1
54,1
55,1
56,2
57,1
58,2
59,5
60,4
61,6
62,3
63,2
64,3
65,2
66,4
67,4
68,2
69,2
70,2
71,1
72,2
73,1
74,2
75,5
76,1
77,3
78,4
79,5
80,5
81,4
82,4
83,3
84,1
85,3
86,3
87,2
88,2
89,1
90,3
91,3
92,1
93,2
94,4
95,1
96,1
97,6
98,2
99,2
