Generation,Diversity
1,13
2,14
3,15
4,17
5,12
6,18
7,17
8,12
9,19
10,15
11,13
12,18
13,12
14,14
15,19
16,15
17,12
18,12
19,12
20,18
21,11
22,13
23,13
24,14
25,12
26,15
27,16
28,18
29,15
30,15
31,14
32,17
33,15
34,13
35,17
36,14
37,18
38,14
39,20
40,16
41,12
42,14
43,18
44,17
45,14
46,14
47,16
48,13
49,14
50,9
51,19
52,13
53,17
54,18
55,19
56,16
57,16
58,16
59,17
60,15
61,16
62,9
63,13
64,15
65,15
66,12
67,20
68,14
69,11
70,12
71,17
72,14
73,12
74,16
75,17
76,17
77,15
78,16
79,19
80,14
81,14
82,15
83,15
84,13
85,12
86,15
87,12
88,14
89,16
90,17
91,15
92,15
93,15
94,17
95,13
96,15
97,12
98,16
99,18
