Gerneration,Depth average
1,4.09804
2,4.05882
3,3.96078
4,3.27451
5,3.4902
6,3.68627
7,4.15686
8,4.03922
9,4.31373
10,4.64706
11,4.72549
12,4.72549
13,4.60784
14,4.92157
15,4.82353
16,4.60784
17,5.23529
18,5.62745
19,5.80392
20,5.62745
21,5.47059
22,5.2549
23,5.43137
24,5.29412
25,5.31373
26,5.37255
27,5.45098
28,5.90196
29,5.58824
30,5.76471
31,5.7451
32,5.60784
33,5.5098
34,5.52941
35,5.66667
36,5.76471
37,6
38,6.47059
39,5.92157
40,5.90196
41,5.64706
42,5.58824
43,5.70588
44,5.58824
45,5.66667
46,5.76471
47,5.60784
48,6.07843
49,5.92157
50,5.88235
51,6.07843
52,5.94118
53,5.58824
54,5.17647
55,5.41176
56,5.21569
57,5.03922
58,5.01961
59,5.43137
60,5.05882
61,5.05882
62,5.31373
63,5.52941
64,5.56863
65,5.54902
66,5.29412
67,5.2549
68,5.27451
69,5.66667
70,5.43137
71,5.23529
72,5.07843
73,4.82353
74,5.21569
75,5.41176
76,5.21569
77,4.88235
78,5.09804
79,5.17647
80,5.05882
81,4.80392
82,4.82353
83,5.33333
84,5.52941
85,5.37255
86,5.11765
87,4.92157
88,4.68627
89,4.56863
90,4.58824
91,4.54902
92,4.68627
93,4.68627
94,4.84314
95,5.21569
96,5.09804
97,5.31373
98,5.35294
99,5.01961
