Generation,Diversity
1,35
2,28
3,26
4,21
5,25
6,23
7,28
8,28
9,16
10,21
11,14
12,10
13,11
14,4
15,7
16,8
17,8
18,6
19,5
20,7
21,6
22,6
23,5
24,5
25,5
26,6
27,6
28,6
29,7
30,7
31,7
32,6
33,5
34,6
35,6
36,7
37,7
38,7
39,5
40,6
41,6
42,6
43,6
44,5
45,7
46,7
47,6
48,7
49,6
50,5
51,6
52,5
53,5
54,7
55,7
56,8
57,6
58,6
59,8
60,7
61,5
62,5
63,6
64,7
65,5
66,6
67,6
68,6
69,5
70,6
71,5
72,6
73,5
74,6
75,6
76,8
77,6
78,8
79,5
80,7
81,6
82,7
83,5
84,7
85,6
86,8
87,9
88,9
89,8
90,6
91,8
92,4
93,4
94,2
95,4
96,3
97,3
98,3
99,5
