Gerneration,Depth average
1,3.64706
2,3.17647
3,3
4,2.86275
5,2.96078
6,3.09804
7,3.2549
8,3.43137
9,3.43137
10,3.41176
11,3.39216
12,3.45098
13,3.41176
14,3.43137
15,3.66667
16,3.64706
17,3.76471
18,3.76471
19,3.68627
20,3.56863
21,3.60784
22,3.60784
23,3.58824
24,3.52941
25,3.58824
26,3.68627
27,3.70588
28,3.68627
29,3.68627
30,3.76471
31,3.76471
32,3.62745
33,3.56863
34,3.58824
35,3.66667
36,3.76471
37,3.82353
38,3.70588
39,3.68627
40,3.62745
41,3.68627
42,3.68627
43,3.76471
44,3.62745
45,3.70588
46,3.76471
47,3.54902
48,3.4902
49,3.52941
50,3.60784
51,3.64706
52,3.68627
53,3.72549
54,3.72549
55,3.60784
56,3.62745
57,3.64706
58,3.58824
59,3.72549
60,3.70588
61,3.70588
62,3.64706
63,3.70588
64,3.76471
65,3.72549
66,3.64706
67,3.78431
68,3.70588
69,3.68627
70,3.70588
71,3.66667
72,3.54902
73,3.72549
74,3.76471
75,3.80392
76,3.7451
77,3.76471
78,3.76471
79,3.72549
80,3.64706
81,3.56863
82,3.54902
83,3.78431
84,3.68627
85,3.70588
86,3.7451
87,3.7451
88,3.7451
89,3.58824
90,3.60784
91,3.58824
92,3.62745
93,3.66667
94,3.64706
95,3.68627
96,3.58824
97,3.45098
98,3.47059
99,3.60784
