Generation,Diversity
1,12
2,10
3,11
4,9
5,8
6,7
7,9
8,9
9,7
10,11
11,10
12,9
13,8
14,7
15,9
16,6
17,11
18,9
19,8
20,10
21,7
22,12
23,8
24,10
25,9
26,8
27,7
28,9
29,9
30,8
31,10
32,8
33,9
34,10
35,9
36,6
37,11
38,9
39,7
40,9
41,9
42,10
43,9
44,8
45,10
46,9
47,8
48,9
49,11
50,6
51,10
52,9
53,7
54,9
55,9
56,10
57,10
58,5
59,9
60,10
61,8
62,10
63,9
64,8
65,9
66,9
67,9
68,8
69,9
70,12
71,11
72,13
73,10
74,11
75,8
76,9
77,9
78,7
79,12
80,8
81,8
82,9
83,8
84,9
85,8
86,10
87,8
88,11
89,8
90,9
91,10
92,10
93,10
94,7
95,11
96,10
97,11
98,10
99,10
