Generation,Diversity
1,35
2,22
3,14
4,9
5,7
6,6
7,8
8,6
9,4
10,8
11,12
12,15
13,18
14,18
15,18
16,19
17,18
18,11
19,15
20,20
21,21
22,21
23,24
24,25
25,25
26,22
27,27
28,23
29,22
30,26
31,22
32,24
33,20
34,23
35,25
36,27
37,20
38,28
39,23
40,25
41,20
42,23
43,27
44,29
45,29
46,29
47,22
48,26
49,25
50,25
51,24
52,21
53,23
54,20
55,23
56,29
57,30
58,24
59,21
60,26
61,25
62,23
63,23
64,24
65,21
66,24
67,22
68,25
69,19
70,20
71,19
72,20
73,21
74,18
75,24
76,24
77,24
78,25
79,24
80,23
81,28
82,26
83,29
84,32
85,30
86,25
87,28
88,26
89,33
90,25
91,29
92,28
93,29
94,26
95,29
96,26
97,23
98,24
99,25
