Generation,Best,Worse,Average
1,34.581,1.24896e+09,4.6509e-310
2,34.581,5.57103e+06,5.19321e+07
3,34.581,1.04688e+09,112061
4,34.581,1.48131e+07,2.05324e+07
5,34.581,1.94199e+08,291052
6,31.8837,8.29059e+08,7.61802e+06
7,31.0911,1.94199e+08,2.01307e+07
8,31.0911,8.29059e+08,4.10135e+06
9,31.0911,2.45604e+11,2.00662e+07
10,31.0911,45843.7,4.8176e+09
11,28.7759,1.12056e+06,3155.3
12,28.7759,3.23284e+08,23460.4
13,28.5141,2.45604e+11,7.51498e+06
14,28.5141,1.12366e+07,4.81579e+09
15,28.5141,2.74046e+12,232599
16,28.5141,8.27541e+06,5.37346e+10
17,28.5137,6.36149e+11,224982
18,28.3397,2.74431e+12,1.24735e+10
19,28.3397,231126,5.38101e+10
20,28.3397,1.65175e+08,12312.6
21,28.3397,inf,3.47369e+06
22,28.3397,235204,inf
23,28.3397,inf,17768.7
24,28.3397,inf,inf
25,28.306,2.06964e+11,inf
26,28.306,235235,4.05817e+09
27,28.306,3.51378e+11,8849.28
28,28.306,382352,6.89013e+09
29,28.306,2.9001e+09,16604.9
30,28.306,2.90827e+09,5.68967e+07
31,28.3057,6.23477e+15,5.70394e+07
32,28.3057,6.39681e+11,1.2225e+14
33,28.3057,6.23477e+15,1.73912e+10
34,28.3057,4.69318e+08,1.2225e+14
35,28.3023,2.45604e+11,9.76638e+06
36,28.3023,1.2011e+07,4.81578e+09
37,28.3023,1.27979e+09,268728
38,28.3023,2.45604e+11,2.51381e+07
39,28.3023,9.37676e+07,4.81583e+09
40,28.3023,1.27979e+09,1.92872e+06
41,28.3023,1.64533e+06,2.53167e+07
42,28.3023,1.53061e+09,32761.4
43,28.3003,2.45604e+11,3.15405e+07
44,28.2831,6.39682e+11,4.81581e+09
45,28.2831,1.27979e+09,1.25428e+10
46,28.2831,1.27979e+09,2.51411e+07
47,28.2831,161292,3.02947e+07
48,28.2831,7.91585e+12,4141.66
49,28.2831,3.33975e+11,1.55213e+11
50,28.2776,2.31598e+07,6.55039e+09
51,28.2776,2.75261e+09,466481
52,28.2776,1.13039e+10,5.39789e+07
53,28.2776,3.37198e+06,2.21645e+08
54,28.2776,148497,127611
55,28.2776,1.56968e+17,3711.16
56,28.2776,1.13039e+10,3.0778e+15
57,28.2766,2.36668e+10,2.21683e+08
58,27.5182,3.8671e+09,4.67334e+08
59,27.5182,10263.2,7.58328e+07
60,27.5182,2.3636e+06,429.204
61,27.5182,24617.9,48217.4
62,27.5182,inf,1014.37
63,27.5182,2.36363e+06,inf
64,27.5182,2561.3,51329
65,27.5182,4.89849e+11,139.281
66,27.5182,4.52309e+08,9.60517e+09
67,27.3198,488920,8.87209e+06
68,27.3198,4.52309e+08,13423.7
69,27.3198,395267,8.87133e+06
70,27.3198,443673,10796.3
71,27.3198,625033,11961.5
72,27.3093,112491,12316.3
73,27.3093,4.52309e+08,3577.24
74,27.3093,1277.39,8.88084e+06
75,27.1691,2496.73,78.7735
76,27.1691,161292,137.102
77,27.1686,2.47311e+06,5159.25
78,26.6983,1.80816e+11,56277.3
79,26.6983,2.47364e+06,3.54547e+09
80,26.6791,4.91643e+11,65318.8
81,26.6791,4.95028e+11,9.64006e+09
82,26.6791,3.21205e+08,9.70649e+09
83,26.6791,22635.9,6.339e+06
84,26.6791,802710,573.878
85,21.2825,3.10423e+06,28083.1
86,20.2474,422422,72615.2
87,20.2474,1.53817e+06,8365.29
88,20.2474,42224.7,30648.4
89,20.2474,540171,877.428
90,20.2474,7.94531e+07,20347
91,20.2474,361679,1.61176e+06
92,20.2474,1.04124e+09,7353.28
93,20.2474,414196,2.04529e+07
94,20.2474,642.045,8447.39
95,20.2474,1383.05,73.1772
96,20.2474,628695,78.0211
97,20.2474,14471.1,24713.4
98,20.2474,616.465,356.597
99,20.2474,361679,58.797
