Generation,Diversity
1,35
2,28
3,21
4,8
5,7
6,5
7,5
8,3
9,4
10,3
11,1
12,2
13,2
14,1
15,1
16,2
17,4
18,1
19,1
20,4
21,5
22,1
23,2
24,4
25,2
26,5
27,2
28,2
29,2
30,2
31,2
32,2
33,3
34,2
35,2
36,3
37,1
38,4
39,2
40,2
41,3
42,3
43,2
44,5
45,3
46,3
47,2
48,1
49,1
50,2
51,3
52,3
53,2
54,3
55,2
56,2
57,1
58,3
59,2
60,3
61,2
62,2
63,1
64,3
65,1
66,2
67,2
68,2
69,2
70,3
71,2
72,2
73,3
74,2
75,3
76,3
77,3
78,1
79,2
80,1
81,2
82,1
83,3
84,1
85,1
86,3
87,3
88,1
89,1
90,2
91,2
92,2
93,1
94,2
95,2
96,2
97,3
98,3
99,2
