Generation,Diversity
1,70
2,57
3,45
4,38
5,35
6,34
7,36
8,31
9,26
10,33
11,29
12,27
13,29
14,31
15,27
16,20
17,21
18,22
19,13
20,16
21,19
22,15
23,16
24,16
25,14
26,11
27,8
28,9
29,13
30,10
31,12
32,16
33,13
34,12
35,12
36,13
37,17
38,14
39,12
40,17
41,15
42,19
43,18
44,11
45,12
46,14
47,17
48,15
49,15
50,16
51,12
52,13
53,12
54,12
55,14
56,15
57,10
58,9
59,8
60,11
61,11
62,7
63,10
64,11
65,10
66,12
67,12
68,13
69,11
70,12
71,12
72,12
73,10
74,10
75,13
76,11
77,11
78,10
79,9
80,11
81,7
82,8
83,9
84,10
85,8
86,9
87,9
88,8
89,11
90,13
91,13
92,14
93,9
94,8
95,8
96,12
97,8
98,11
99,11
