Generation,Diversity
1,5
2,4
3,4
4,3
5,4
6,5
7,4
8,5
9,6
10,4
11,4
12,4
13,5
14,5
15,4
16,6
17,4
18,4
19,4
20,3
21,5
22,3
23,5
24,3
25,5
26,7
27,5
28,3
29,5
30,4
31,4
32,6
33,3
34,4
35,3
36,4
37,5
38,5
39,4
40,6
41,3
42,8
43,5
44,4
45,4
46,6
47,5
48,4
49,3
50,3
51,4
52,5
53,4
54,4
55,3
56,4
57,5
58,5
59,5
60,4
61,6
62,4
63,5
64,4
65,5
66,6
67,6
68,5
69,6
70,5
71,4
72,6
73,5
74,5
75,4
76,5
77,5
78,5
79,5
80,5
81,5
82,6
83,4
84,4
85,5
86,6
87,5
88,4
89,5
90,5
91,4
92,4
93,4
94,4
95,4
96,4
97,5
98,6
99,6
100,4
101,5
102,4
103,4
104,4
105,5
106,5
107,4
108,4
109,4
110,5
111,5
112,4
113,5
114,5
115,4
116,5
117,6
118,7
119,4
120,6
121,4
122,4
123,5
124,4
125,5
126,4
127,5
128,5
129,4
130,4
131,5
132,5
133,5
134,6
135,4
136,5
137,5
138,6
139,3
140,4
141,5
142,5
143,4
144,6
145,4
146,4
147,5
148,4
149,4
150,5
151,4
152,5
153,4
154,4
155,4
156,5
157,5
158,5
159,4
160,5
161,4
162,4
163,5
164,4
165,5
166,4
167,6
168,4
169,4
170,5
171,6
172,4
173,6
174,5
175,5
176,5
177,6
178,4
179,3
180,4
181,3
182,4
183,4
184,5
185,4
186,5
187,3
188,5
189,4
190,4
191,3
192,6
193,5
194,5
195,4
196,5
197,4
198,5
199,3
200,5
201,4
202,5
203,4
204,6
205,4
206,6
207,4
208,6
209,3
210,6
211,3
212,5
213,5
214,5
215,4
216,6
217,4
218,5
219,5
220,4
221,4
222,4
223,4
224,6
225,4
226,4
227,4
228,4
229,5
230,4
231,6
232,5
233,4
234,4
235,5
236,4
237,5
238,5
239,4
240,4
241,3
242,5
243,5
244,5
245,3
246,4
247,5
248,5
249,5
250,6
251,5
252,4
253,3
254,4
255,4
256,5
257,3
258,5
259,4
260,6
261,5
262,6
263,4
264,5
265,4
266,5
267,4
268,5
269,5
270,4
271,3
272,6
273,5
274,5
275,4
276,5
277,5
278,5
279,4
280,6
281,4
282,5
283,4
284,6
285,3
286,5
287,4
288,5
289,4
290,5
291,5
292,4
293,3
294,4
295,5
296,7
297,3
298,4
299,3
300,5
301,6
302,5
303,5
304,5
305,3
306,5
307,3
308,5
309,5
310,7
311,6
312,4
313,5
314,4
315,4
316,5
317,3
318,5
319,5
320,4
321,4
322,6
323,3
324,4
325,4
326,6
327,4
328,5
329,4
330,4
331,5
332,6
333,4
334,5
335,6
336,4
337,3
338,4
339,4
340,5
341,4
342,6
343,4
344,4
345,3
346,6
347,4
348,6
349,4
350,4
351,3
352,4
353,6
354,5
355,4
356,5
357,5
358,5
359,4
360,5
361,4
362,4
363,5
364,4
365,4
366,6
367,3
368,5
369,5
370,5
371,3
372,5
373,4
374,6
375,4
376,5
377,4
378,5
379,4
380,5
381,6
382,5
383,6
384,6
385,4
386,4
387,4
388,4
389,4
390,6
391,4
392,5
393,6
394,7
395,6
396,4
397,5
398,5
399,5
400,5
401,4
402,4
403,4
404,6
405,3
406,5
407,4
408,5
409,4
410,5
411,4
412,4
413,4
414,5
415,4
416,6
417,5
418,5
419,3
420,6
421,5
422,6
423,4
424,5
425,4
426,5
427,5
428,6
429,4
430,5
431,4
432,4
433,4
434,4
435,3
436,4
437,4
438,6
439,4
440,7
441,4
442,5
443,4
444,5
445,4
446,4
447,4
448,6
449,4
450,6
451,3
452,4
453,4
454,5
455,5
456,4
457,3
458,4
459,3
460,5
461,4
462,6
463,3
464,4
465,3
466,6
467,4
468,4
469,6
470,6
471,4
472,5
473,4
474,5
475,3
476,4
477,3
478,5
479,4
480,5
481,4
482,5
483,3
484,5
485,3
486,4
487,4
488,5
489,4
490,4
491,4
492,5
493,4
494,5
495,4
496,5
497,3
498,5
499,5
