Generation,Best,Worse,Average
1,17.8244,460.831,6.95288e-310
2,17.5846,459.722,26.0479
3,17.3135,294.944,25.0592
4,17.269,296.596,22.7618
5,17.269,23.7757,25.2835
6,17.269,23.7757,18.4727
7,12.6982,23.7757,19.0351
8,12.6982,27.0444,18.7673
9,12.6982,31.434,14.8073
10,12.6982,29.3619,15.6213
11,12.6982,27.0444,14.9867
12,12.6982,29.4923,15.5073
13,12.6982,27.0444,15.0169
14,12.6982,29.4923,15.9861
15,12.6982,31.434,15.1821
16,12.6982,27.0444,15.2955
17,12.6982,31.434,14.4477
18,12.6982,27.0444,15.6517
19,12.6982,52.6152,15.6487
20,12.6982,27.0444,16.2049
21,12.6982,31.434,15.4561
22,12.6982,31.434,15.6091
23,12.6982,31.434,16.0051
24,12.6982,52.6152,15.3498
25,12.6982,52.6152,15.5774
26,12.6982,29.3619,15.2487
27,12.6982,31.434,15.487
28,12.6982,52.6152,15.5428
29,12.6982,27.0444,15.6286
30,12.6982,27.0444,15.9335
31,12.6982,31.434,14.7942
32,12.6982,29.4923,15.5446
33,12.6982,29.4923,15.1885
34,12.6982,52.6152,15.7889
35,12.6982,29.4923,16.2092
36,12.6982,27.0444,15.172
37,12.6982,31.434,14.749
38,12.6982,29.3619,16.1187
39,12.6982,52.6152,15.0587
40,12.6982,52.6152,16.1851
41,12.6982,29.4923,16.2774
42,12.6982,52.6152,15.9848
43,12.6982,52.6152,16.1449
44,12.6982,52.6152,15.9891
45,12.6982,52.6152,15.8613
46,12.6982,27.0444,15.6791
47,12.6982,31.434,15.5675
48,12.6982,52.6152,16.0748
49,12.6982,27.0444,15.8239
50,12.6982,52.6152,15.2401
51,12.6982,27.0444,15.8887
52,12.6982,27.0444,15.2726
53,12.6982,31.434,14.7187
54,12.6982,27.0444,15.447
55,12.6982,31.434,15.1692
56,12.6982,31.434,15.9663
57,12.6982,29.4923,15.5766
58,12.6982,29.4923,15.1359
59,12.6982,31.434,15.7693
60,12.6982,52.6152,15.1019
61,12.6982,31.434,16.0829
62,12.6982,52.6152,15.1439
63,12.6982,27.0444,15.4114
64,12.6982,52.6152,15.3149
65,12.6982,29.3619,15.8331
66,12.6982,52.6152,14.7949
67,12.6982,52.6152,16.1255
68,12.6982,52.6152,15.6348
69,12.6982,52.6152,16.1787
70,12.6982,31.434,16.2422
71,12.6982,27.0444,15.7309
72,12.6982,31.434,14.9703
73,12.6982,52.6152,15.1711
74,12.6982,27.0444,15.8678
75,12.6982,29.4923,14.7597
76,12.6982,31.434,14.934
77,12.6982,52.6152,15.287
78,12.6982,52.6152,15.5971
79,12.6982,27.0444,16.5194
80,12.6982,27.0444,15.6
81,12.6982,27.0444,15.1195
82,12.6982,31.434,15.5745
83,12.6982,27.0444,15.6613
84,12.6982,27.0444,14.9068
85,12.6982,27.0444,15.6004
86,12.6982,27.0444,15.1557
87,12.6982,29.3619,15.2853
88,12.6982,27.0444,15.3704
89,12.6982,29.4923,15.1296
90,12.6982,29.4923,15.1286
91,12.6982,52.6152,15.5712
92,12.6982,52.6152,15.5388
93,12.6982,52.6152,15.7457
94,12.6982,52.6152,15.4603
95,12.6982,29.3619,15.8673
96,12.6982,52.6152,15.1446
97,12.6982,31.434,16.3723
98,12.6982,27.0444,15.8286
99,12.6982,29.3619,14.8608
