Generation,Diversity
1,42
2,33
3,37
4,38
5,34
6,37
7,35
8,37
9,37
10,36
11,38
12,40
13,36
14,34
15,41
16,30
17,31
18,32
19,33
20,31
21,36
22,31
23,31
24,30
25,34
26,33
27,32
28,32
29,28
30,31
31,30
32,31
33,33
34,30
35,30
36,33
37,35
38,33
39,32
40,31
41,33
42,33
43,32
44,31
45,27
46,36
47,33
48,32
49,31
50,32
51,33
52,31
53,33
54,34
55,30
56,31
57,31
58,31
59,33
60,28
61,36
62,34
63,26
64,35
65,33
66,33
67,32
68,32
69,30
70,31
71,32
72,36
73,32
74,29
75,30
76,29
77,33
78,32
79,30
80,31
81,32
82,28
83,35
84,30
85,29
86,34
87,33
88,30
89,34
90,33
91,32
92,29
93,33
94,34
95,31
96,30
97,28
98,35
99,32
