Generation,Diversity
1,64
2,44
3,34
4,27
5,26
6,25
7,23
8,16
9,16
10,18
11,21
12,21
13,18
14,19
15,19
16,13
17,14
18,20
19,20
20,18
21,21
22,17
23,18
24,13
25,12
26,13
27,12
28,15
29,15
30,13
31,16
32,14
33,15
34,12
35,14
36,14
37,12
38,15
39,17
40,17
41,19
42,15
43,14
44,17
45,16
46,16
47,13
48,16
49,19
50,18
51,15
52,19
53,18
54,15
55,16
56,17
57,17
58,19
59,12
60,15
61,14
62,12
63,15
64,17
65,12
66,12
67,14
68,13
69,18
70,14
71,12
72,15
73,16
74,10
75,12
76,11
77,13
78,11
79,10
80,11
81,13
82,13
83,10
84,10
85,10
86,11
87,11
88,12
89,11
90,10
91,12
92,12
93,13
94,12
95,12
96,13
97,11
98,10
99,14
