Generation,Best,Worse,Average
1,18.0902,1561.12,6.9526e-310
2,18.0902,69.4016,58.1283
3,18.0902,772.067,23.354
4,18.0902,334.658,29.3674
5,18.0902,42.4072,25.8449
6,17.223,36002.6,19.9238
7,17.223,8822.15,594.196
8,17.223,22.5474,106.891
9,17.223,101.17,18.9654
10,17.223,42.4072,20.3307
11,17.223,42.4072,19.8734
12,17.223,42.4072,19.7233
13,17.223,2221.41,20.1053
14,17.223,70.0871,41.2495
15,17.223,29.4688,20.2002
16,17.0183,42.4072,19.3414
17,17.0183,29.4936,19.4481
18,17.0183,35.0348,19.1744
19,17.0183,33.0345,19.422
20,17.0183,35.0348,19.2783
21,17.0183,1105.61,19.1564
22,17.0183,85.5207,31.0912
23,17.0183,45.2159,20.5661
24,17.0183,32.7643,19.4641
25,17.0183,32.816,19.393
26,17.0183,229.725,19.3069
27,17.0183,36762.5,21.1513
28,17.0183,149.413,383.114
29,17.0183,51.9507,21.024
30,17.0183,29.2219,19.8505
31,16.9185,54.463,19.4316
32,16.9185,370.533,19.9283
33,16.9185,2210.62,23.405
34,16.9185,735.529,52.0013
35,16.9185,4961.98,26.7212
36,16.9185,19753,80.5527
37,16.9185,916.795,214.758
38,16.9185,25.6382,29.1535
39,16.9185,200.397,20.1825
40,16.9185,19753,21.5664
41,16.9185,370.533,415.141
42,16.9185,246.784,24.4829
43,16.9185,491.704,23.3975
44,16.9185,19753,25.1607
45,16.9185,45911.4,216.111
46,16.9185,142.108,477.016
47,10.1334,179.135,23.26
48,10.1334,2665.26,21.4123
49,10.1334,2665.26,53.0539
50,10.1334,17777.6,46.2605
51,10.1334,42.1742,196.699
52,10.1334,1000.26,19.5669
53,10.1334,4293,29.3112
54,10.1334,1657.89,61.9307
55,10.1334,125.204,37.344
56,10.1334,552.666,21.275
57,10.1334,4410.53,23.9697
58,10.1334,50.8308,62.3094
59,10.1334,27.0444,18.0266
60,10.1334,183.241,17.6713
61,10.1334,24.0794,19.6556
62,10.1334,27.0444,17.234
63,10.1334,552.666,17.2745
64,10.1334,27.0444,22.5581
65,10.1334,124.004,26.9871
66,10.1334,552.666,17.7914
67,10.1334,552.666,inf
68,10.1334,552.666,31.9741
69,10.1334,23.7109,inf
70,10.1334,552.666,15.7204
71,10.1334,552.666,27.194
72,10.1334,552.666,20.0117
73,10.1334,45.4237,20.1225
74,10.1334,27.0444,14.7378
75,10.1334,27.0444,13.6262
76,10.1334,27.0444,13.968
77,10.1334,552.666,15.1694
78,10.1334,221.701,30.7616
79,10.1334,552.666,17.3336
80,10.1334,27.0444,20.9409
81,10.1334,27.0444,15.9504
82,10.1334,552.666,15.1278
83,10.1334,32.2711,25.9147
84,10.1334,27.0444,15.4215
85,10.1334,221.701,15.6942
86,10.1334,27.0444,16.3838
87,10.1334,27.0444,14.8269
88,10.1334,552.666,14.5033
89,10.1334,552.666,20.6717
90,10.1334,27.0444,25.0926
91,10.1334,552.666,15.5485
92,10.1334,552.666,21.0219
93,10.1334,552.666,20.6727
94,10.1334,29.8296,20.7986
95,10.1334,22.8558,15.3274
96,10.1334,552.666,14.8568
97,10.1334,552.666,20.2418
98,10.1334,552.666,20.3617
99,10.1334,23.5944,20.5609
