Gerneration,Depth average
1,3.84032
2,3.83633
3,3.81836
4,3.82036
5,3.84232
6,3.83433
7,3.83034
8,3.83832
9,3.81238
10,3.81038
11,3.86028
12,3.82435
13,3.80838
14,3.81238
15,3.83832
16,3.87625
17,3.84232
18,3.84431
19,3.78643
20,3.8523
21,3.81836
22,3.83832
23,3.88224
24,3.8483
25,3.86028
26,3.8004
27,3.84032
28,3.85828
29,3.8483
30,3.81238
31,3.86228
32,3.83433
33,3.81836
34,3.87824
35,3.81836
36,3.86826
37,3.85429
38,3.79441
39,3.83034
40,3.81437
41,3.85828
42,3.88224
43,3.83832
44,3.84431
45,3.85429
46,3.83633
47,3.83433
48,3.8523
49,3.84631
