Generation,Best,Worse,Average
1,18.7949,18.7949,6.95258e-310
2,18.7949,22.8558,18.7949
3,18.7949,22.6617,18.8745
4,18.7949,22.2852,18.9465
5,18.7949,19.2842,18.7949
6,18.7949,22.6617,18.8045
7,18.7949,22.8558,18.8803
8,18.7949,18.7949,18.9292
9,18.7949,18.7949,18.7949
10,18.7949,22.6617,18.7949
11,18.7949,18.7949,18.8707
12,18.7949,18.7949,18.7949
13,18.7949,18.7949,18.7949
14,18.7949,18.7949,18.7949
15,18.7949,22.6617,18.7949
16,18.7949,18.7949,18.8803
17,18.7949,23.5651,18.7949
18,18.7949,18.7949,18.8884
19,18.7949,23.2165,18.7949
20,18.7949,23.5651,18.8816
21,18.7949,18.7949,18.8884
22,18.7949,18.7949,18.7949
23,18.7949,21.7528,18.7949
24,18.7949,23.5651,18.8529
25,18.7949,19.2842,18.9464
26,18.7949,18.7949,18.8045
27,18.7949,18.7949,18.7949
28,18.7949,18.7949,18.7949
29,18.7949,21.7528,18.7949
30,18.7949,18.7949,18.8529
31,18.7949,23.5651,18.7949
32,18.7949,23.5651,18.8884
33,18.7949,23.5651,18.9431
34,18.7949,22.8558,18.9643
35,18.7949,18.7949,18.8745
36,18.7949,23.5651,18.7949
37,18.7949,19.2842,19.2645
38,18.7949,18.7949,18.8045
39,18.7949,18.7949,18.7949
40,18.7949,23.2165,18.7949
41,18.7949,18.7949,18.8816
42,18.7949,22.8558,18.7949
43,18.7949,22.6617,18.8745
44,18.7949,18.7949,18.8707
45,18.7949,18.7949,18.7949
46,18.7949,23.5651,18.7949
47,18.7949,23.2165,18.8884
48,18.7949,18.7949,18.8816
49,18.7949,18.7949,18.7949
