Generation,Best,Worse,Average
1,10.4933,497.065,6.95316e-310
2,8.35714,392.673,23.6117
3,8.35714,561.19,5.25765e+12
4,8.35714,561.19,15.9748
5,8.35714,561.19,16.8726
6,8.35714,561.19,19.4319
7,8.35714,561.19,22.7282
8,8.35714,561.19,22.3041
9,8.35714,561.19,1.58802e+12
10,8.35714,561.19,20.3032
11,8.35714,561.19,21.384
12,8.35714,561.19,20.1336
13,8.35714,561.19,19.5351
14,8.35714,561.19,19.7778
15,8.35714,561.19,25.4814
16,8.35714,561.19,22.2527
17,8.35714,561.19,21.1782
18,8.35714,561.19,19.0995
19,8.35714,561.19,18.258
20,8.35714,561.19,19.4803
21,8.35714,561.19,23.1454
22,8.35714,561.19,18.3376
23,8.35714,561.19,16.9228
24,8.35714,561.19,19.2909
25,8.35714,561.19,1.58802e+12
26,8.35714,561.19,21.1759
27,8.35714,561.19,16.9291
28,8.35714,561.19,23.8438
29,8.35714,561.19,19.0816
30,8.35714,561.19,18.5495
31,8.35714,561.19,16.6687
32,8.35714,561.19,21.7469
33,8.35714,561.19,23.6864
34,8.35714,561.19,19.0482
35,8.35714,561.19,25.6606
36,8.35714,561.19,1.58802e+12
37,8.35714,561.19,24.7616
38,8.35714,561.19,3.17604e+12
39,8.35714,561.19,18.2453
40,8.35714,561.19,20.353
41,8.35714,561.19,22.3527
42,8.35714,561.19,19.7208
43,8.35714,561.19,18.1107
44,8.35714,561.19,21.7852
45,8.35714,561.19,21.1896
46,8.35714,561.19,20.8549
47,8.35714,561.19,1.58802e+12
48,8.35714,561.19,18.4721
49,8.35714,561.19,19.6911
50,8.35714,561.19,21.5016
51,8.35714,561.19,31.3073
52,8.35714,561.19,21.1388
53,8.35714,561.19,15.1083
54,8.35714,561.19,19.1632
55,8.35714,561.19,20.964
56,8.35714,561.19,16.1173
57,8.35714,561.19,21.5801
58,8.35714,561.19,22.7483
59,8.35714,561.19,19.4313
60,8.35714,561.19,26.0339
61,8.35714,561.19,16.9099
62,8.35714,561.19,16.9956
63,8.35714,561.19,21.0508
64,8.35714,561.19,20.6067
65,8.35714,561.19,1.58802e+12
66,8.35714,561.19,1.58802e+12
67,8.35714,561.19,20.5593
68,8.35714,561.19,23.2523
69,8.35714,561.19,1.58802e+12
70,8.35714,561.19,21.1455
71,8.35714,561.19,20.2874
72,8.35714,561.19,19.387
73,8.35714,561.19,22.003
74,8.35714,561.19,27.169
75,8.35714,561.19,21.5592
76,8.35714,561.19,19.9944
77,8.35714,561.19,14.7781
78,8.35714,561.19,19.9859
79,8.35714,561.19,18.201
80,8.35714,561.19,16.1298
81,7.21882,561.19,19.5878
82,7.14374,280.933,17.46
83,6.79326,39.1101,2.0049e+12
84,6.79326,42.4472,14.0543
85,6.79326,42.4472,13.4312
86,6.79326,42.4472,13.8116
87,6.79326,42.4472,1.89454e+12
88,6.79326,42.4472,13.8092
89,6.79326,42.4472,13.716
90,6.79326,42.4472,39.8879
91,6.79326,42.4472,13.3786
92,6.79326,42.4472,14.048
93,6.79326,42.4472,13.8725
94,6.79326,42.4472,13.815
95,6.79326,42.4472,14.1323
96,6.79326,42.4472,13.7423
97,6.79326,55.8269,13.9814
98,6.79326,42.4472,1.89454e+12
99,6.79326,42.4472,13.9083
