Gerneration,Depth average
1,7.47525
2,7.38614
3,6.38614
4,6.36634
5,6.38614
6,6.45545
7,6.41584
8,6.52475
9,6.37624
10,6.53465
11,6.41584
12,6.43564
13,6.52475
14,6.30693
15,6.35644
16,6.23762
17,6.41584
18,6.43564
19,6.47525
20,6.41584
21,6.29703
22,6.51485
23,6.17822
24,6.32673
25,6.33663
26,6.40594
27,6.21782
28,6.30693
29,6.59406
30,6.41584
31,6.48515
32,6.28713
33,6.63366
34,6.43564
35,6.46535
36,6.39604
37,6.50495
38,6.46535
39,6.32673
40,6.48515
41,6.42574
42,6.52475
43,6.41584
44,6.49505
45,6.30693
46,6.40594
47,6.58416
48,6.24752
49,6.36634
