Generation,Best,Worse,Average
1,18.3382,22.5474,6.95265e-310
2,18.3382,22.5474,19.101
3,18.3382,22.5474,19.1482
4,18.3382,25.8113,18.9326
5,18.3382,22.5474,18.9979
6,18.3382,25.8113,19.0958
7,18.3382,22.5474,18.781
8,18.3382,22.5474,18.8661
9,18.3382,22.5474,19.2177
10,18.3382,22.5474,19.1065
11,18.3382,22.5474,19.0197
12,18.3382,22.5474,18.7675
13,18.3382,22.5474,18.9984
14,18.3382,22.5474,19.1747
15,18.3382,22.5474,18.961
16,18.3382,22.5474,19.0286
17,18.3382,22.5474,19.0471
18,18.3382,25.8113,18.9979
19,18.3382,22.5474,19.1316
20,18.3382,22.5474,19.1047
21,18.3382,22.5474,18.7029
22,18.3382,22.5474,19.2819
23,18.3382,22.5474,19.0201
24,18.3382,22.5474,18.7189
25,18.3382,22.5474,18.7605
26,18.3382,22.5474,18.8242
27,18.3382,22.5474,18.6616
28,18.3382,22.5474,18.8692
29,18.3382,22.5474,19.0522
30,18.3382,22.5474,18.8213
31,18.3382,22.5474,18.6772
32,18.3382,22.5474,19.0321
33,18.3382,22.5474,19.1209
34,18.3382,22.5474,18.9167
35,18.3382,22.5474,18.9383
36,18.3382,22.5474,18.8643
37,18.3382,25.8113,18.9895
38,18.3382,22.5474,18.9722
39,18.3382,24.5638,19.2448
40,18.3382,22.5474,19.0612
41,18.3382,22.5474,18.8381
42,18.3382,22.5474,18.8818
43,18.3382,22.5474,18.9831
44,18.3382,22.5474,19.1801
45,18.3382,22.5474,18.8635
46,18.3382,22.5474,18.7995
47,18.3382,22.5474,18.6573
48,18.3382,22.5474,19.0394
49,18.3382,22.5474,19.2819
50,18.3382,22.5474,18.9695
51,18.3382,22.5474,18.7476
52,18.3382,22.5474,18.852
53,18.3382,22.5474,19.1125
54,18.3382,22.5474,18.7355
55,18.3382,22.5474,19.0892
56,18.3382,24.5638,18.9862
57,18.3382,22.5474,19.0495
58,18.3382,22.5474,18.7605
59,18.3382,22.5474,18.7247
60,18.3382,25.8113,18.9103
61,18.3382,22.5474,19.0074
62,18.3382,22.5474,18.9116
63,18.3382,22.5474,18.9646
64,18.3382,22.5474,18.9686
65,18.3382,22.5474,19.0273
66,18.3382,22.5474,18.9268
67,18.3382,22.5474,18.6155
68,18.3382,22.5474,18.614
69,18.3382,24.5638,18.9417
70,18.3382,22.5474,19.0431
71,18.3382,22.5474,18.8149
72,18.3382,22.5474,18.9299
73,18.3382,22.5474,19.0612
74,18.3382,22.5474,18.8946
75,18.3382,22.5474,18.8123
76,18.3382,22.5474,18.9089
77,18.3382,22.5474,19.0387
78,18.3382,22.5474,18.9524
79,18.3382,22.5474,19.3428
80,18.3382,22.5474,18.941
81,18.3382,22.5474,18.8827
82,18.3382,22.5474,19.0454
83,18.3382,22.5474,18.8163
84,18.3382,22.5474,18.7906
85,18.3382,22.5474,19.0511
86,18.3382,22.5474,18.9032
87,18.3382,24.5638,19.2831
88,18.3382,22.5474,19.0904
89,18.3382,22.5474,18.9262
90,18.3382,25.8113,18.8924
91,18.3382,24.5638,19.0204
92,18.3382,22.5474,18.9626
93,18.3382,22.5474,18.7432
94,18.3382,22.5474,19.3523
95,18.3382,22.5474,18.7324
96,18.3382,24.5638,19.0842
97,18.3382,25.8113,19.034
98,18.3382,25.8113,18.9109
99,18.3382,22.5474,19.1866
100,18.3382,22.5474,19.2179
101,18.3382,22.5474,19.0778
102,18.3382,22.5474,18.7477
103,18.3382,22.5474,18.925
104,18.3382,22.5474,18.6262
105,18.3382,22.5474,18.8423
106,18.3382,22.5474,19.1313
107,18.3382,20.0004,19.0963
108,18.3382,22.5474,18.5671
109,18.3382,25.8113,18.7809
110,18.3382,22.5474,19.2973
111,18.3382,22.5474,18.9308
112,18.3382,22.5474,18.8939
113,18.3382,22.5474,19.0861
