Generation,Best,Worse,Average
1,18.6701,19.5587,6.95311e-310
2,18.6701,19.9985,18.89
3,18.6701,19.5587,18.8856
4,18.6701,19.5587,18.8724
5,18.6701,19.5587,18.846
6,18.6701,19.5587,18.8548
7,18.6701,25.3638,18.8285
8,18.6701,19.5587,18.9387
9,18.6701,19.5587,18.8197
10,18.6701,20.9463,18.8724
11,18.6701,20.9463,18.8862
12,18.6701,19.5587,18.8904
13,18.6701,19.5587,18.8724
14,18.6701,20.0571,18.8306
15,18.6701,19.5587,18.851
16,18.6701,20.9853,18.9252
17,18.6701,19.5587,18.9306
18,18.6701,19.5587,18.8096
19,18.6701,19.5587,18.8812
20,18.6701,20.9463,18.8285
21,18.6701,19.5587,18.851
22,18.6701,19.5587,18.8548
23,18.5985,19.5587,18.8548
24,18.5985,22.4124,18.8453
25,18.5985,22.4124,19.2242
26,18.5985,22.4124,19.2675
27,18.5985,22.4124,19.2126
28,18.5985,22.4124,19.3066
29,18.5985,24.9197,19.5088
30,18.5985,22.4124,19.3881
31,18.5985,31.3955,19.224
32,18.5985,22.4124,19.2869
33,18.5985,39.3451,19.2117
34,18.5985,22.4124,19.4442
35,18.5985,39.3451,19.2289
36,18.5985,22.4124,19.6591
37,18.5985,31.3955,19.2765
38,18.5985,22.4124,19.4447
39,18.5985,39.3451,19.4284
40,18.5985,22.4124,19.6821
41,18.5985,22.4124,19.2599
42,18.5985,22.4124,19.2381
43,18.5985,22.4124,19.2992
44,18.5985,22.4124,19.3062
45,18.5985,22.4124,19.3872
46,18.5985,31.3955,19.2756
47,18.5985,22.4124,19.5603
48,18.5985,22.4124,19.3051
49,18.5985,22.4124,19.1556
