Generation,Best,Worse,Average
1,17.1705,120.381,6.95258e-310
2,17.1705,26.3895,21.4024
3,17.1705,33.3564,19.1099
4,17.1705,24.2016,19.0437
5,17.1705,33.3564,19.0623
6,17.1705,22.6234,18.9996
7,17.1705,33.3564,18.7217
8,17.1705,26.3895,19.4465
9,17.1705,22.6234,18.6948
10,14.0722,22.6234,18.8266
11,14.0722,22.6234,18.8621
12,14.0722,222.439,17.0601
13,14.0722,44.6064,25.2718
14,14.0722,22.6234,17.3355
15,14.0722,22.6234,17.1758
16,14.0722,222.439,16.2338
17,14.0722,22.6234,20.7095
18,14.0722,50.8537,17.0457
19,14.0722,24.2016,17.608
20,14.0722,22.6234,16.909
21,14.0722,22.6234,16.2277
22,14.0722,22.6234,17.4443
23,14.0722,33.7295,16.7834
24,14.0722,222.439,17.1926
25,14.0722,222.439,20.8664
26,14.0722,44.6064,21.2208
27,14.0722,22.6234,16.5913
28,14.0722,44.6064,16.7309
29,14.0722,22.6234,16.8326
30,14.0722,22.6234,17.2456
31,14.0722,22.6234,16.8922
32,14.0722,22.6234,16.6663
33,14.0722,222.439,17.0779
34,14.0722,24.2016,21.2872
35,14.0722,222.439,16.5882
36,14.0722,44.6064,20.4632
37,14.0722,222.439,18.2754
38,14.0722,222.439,21.9326
39,14.0722,222.439,25.9317
40,14.0722,222.439,21.9038
41,14.0722,44.6064,20.9602
42,14.0722,43.6055,17.0491
43,14.0722,22.6234,17.6154
44,14.0722,22.6234,17.0483
45,14.0722,22.6234,17.4264
46,14.0722,22.6234,17.5452
47,14.0722,222.439,17.2137
48,14.0722,33.7295,20.5844
49,14.0722,222.439,16.9545
