Gerneration,Depth average
1,2.86275
2,2.78431
3,2.88235
4,2.80392
5,2.80392
6,2.82353
7,2.84314
8,2.78431
9,2.84314
10,2.80392
11,2.82353
12,2.80392
13,2.7451
14,2.78431
15,2.78431
16,2.76471
17,2.70588
18,2.72549
19,2.78431
20,2.80392
21,2.90196
22,2.80392
23,2.78431
24,2.86275
25,2.78431
26,2.82353
27,2.76471
28,2.86275
29,2.78431
30,2.76471
31,2.72549
32,2.88235
33,2.80392
34,2.80392
35,2.80392
36,2.7451
37,2.80392
38,2.78431
39,2.84314
40,2.84314
41,2.76471
42,2.86275
43,2.86275
44,2.86275
45,2.7451
46,2.84314
47,2.84314
48,2.80392
49,2.80392
50,2.84314
51,2.72549
52,2.82353
53,2.80392
54,2.78431
55,2.80392
56,2.72549
57,2.78431
58,2.92157
59,2.78431
60,2.82353
61,2.82353
62,2.82353
63,2.76471
64,2.84314
65,2.80392
66,2.76471
67,2.82353
68,2.84314
69,2.72549
70,2.7451
71,2.90196
72,2.82353
73,2.82353
74,2.80392
75,2.70588
76,2.78431
77,2.72549
78,2.84314
79,2.78431
80,2.80392
81,2.82353
82,2.70588
83,2.80392
84,2.7451
85,2.82353
86,2.88235
87,2.84314
88,2.80392
89,2.76471
90,2.72549
91,2.82353
92,2.82353
93,2.78431
94,2.7451
95,2.80392
96,2.78431
97,2.76471
98,2.76471
99,2.84314
