Generation,Best,Worse,Average
1,13.0525,32.4481,6.95316e-310
2,13.0525,33.6189,17.2722
3,13.0525,33.6189,1.57354e+12
4,13.0525,33.6189,1.57354e+12
5,13.0525,33.6189,14.5124
6,13.0525,28.2598,14.558
7,13.0525,39.0976,14.5614
8,13.0525,33.6189,1.57354e+12
9,11.6927,33.6189,14.6451
10,10.1334,58.8658,14.4863
11,10.1334,58.8658,13.0794
12,10.1334,32.752,13.0325
13,10.1334,58.8658,12.7985
14,10.1334,58.8658,13.3549
15,10.1334,58.8658,13.1885
16,10.1334,32.6955,13.0816
17,10.1334,58.8658,12.99
18,10.1334,58.8658,13.4344
19,10.1334,32.6955,13.0088
20,10.1334,58.8658,13.0346
21,10.1334,58.8658,12.9303
22,10.1334,58.8658,13.1278
23,10.1334,58.8658,12.5686
24,10.1334,58.8658,13.2573
25,10.1334,58.8658,13.0286
26,10.1334,32.6955,13.3528
27,10.1334,32.6955,13.2732
28,10.1334,58.8658,12.716
29,10.1334,58.8658,13.2033
30,10.1334,32.6955,1.73865e+12
31,10.1334,58.8658,12.5977
32,10.1334,36.2029,12.953
33,10.1334,58.8658,12.9896
34,10.1334,58.8658,13.4214
35,10.1334,45.4237,13.2674
36,10.1334,58.8658,1.73865e+12
37,10.1334,58.8658,13.6032
38,10.1334,58.8658,13.0793
39,10.1334,58.8658,13.3311
40,10.1334,32.6955,12.9612
41,10.1334,32.6955,12.5153
42,10.1334,58.8658,12.4401
43,10.1334,58.8658,13.3669
44,10.1334,58.8658,12.9672
45,10.1334,58.8658,12.9117
46,10.1334,32.6955,13.0666
47,10.1334,58.8658,12.6628
48,10.1334,32.6955,1.73865e+12
49,10.1334,32.6955,12.5563
50,10.1334,36.2029,12.393
51,10.1334,58.8658,12.8606
52,10.1334,58.8658,13.1837
53,10.1334,58.8658,12.9897
54,10.1334,32.6955,12.9732
55,10.1334,32.6955,13.1563
56,10.1334,58.8658,12.8531
57,10.1334,58.8658,13.077
58,10.1334,32.6955,12.915
59,10.1334,58.8658,12.9461
60,10.1334,58.8658,12.8205
61,10.1334,58.8658,12.9998
62,10.1334,32.6955,13.5463
63,10.1334,58.8658,12.574
64,10.1334,58.8658,12.6079
65,10.1334,32.6955,12.5895
66,10.1334,58.8658,12.7145
67,10.1334,58.8658,13.1647
68,10.1334,34.7304,13.1084
69,10.1334,58.8658,1.73865e+12
70,8.00206,58.8658,12.6268
71,8.00206,33.1556,12.9403
72,8.00206,32.6955,13.8898
73,8.00206,32.6955,14.1303
74,8.00206,32.6955,14.0262
75,8.00206,32.6955,14.4104
76,8.00206,32.6955,14.4101
77,8.00206,33.1556,13.8248
78,8.00206,32.6955,14.1755
79,8.00206,32.6955,13.7366
80,8.00206,32.6955,1.99808e+12
81,8.00206,37.0647,14.3958
82,8.00206,33.1556,14.29
83,8.00206,32.6955,13.6305
84,8.00206,32.6955,14.1405
85,8.00206,32.6955,13.7705
86,8.00206,32.6955,13.6843
87,8.00206,32.6955,14.175
88,8.00206,32.6955,14.1593
89,8.00206,53.2169,14.0007
90,8.00206,32.6955,1.99808e+12
91,8.00206,32.6955,13.5481
92,8.00206,32.6955,1.99808e+12
93,8.00206,32.6955,13.846
94,8.00206,32.6955,13.7236
95,8.00206,32.6955,13.9756
96,8.00206,32.6955,13.891
97,8.00206,32.6955,13.9609
98,8.00206,33.1556,13.6307
99,8.00206,32.6955,13.8236
