Generation,Best,Worse,Average
1,12.6133,443.225,6.95311e-310
2,12.6133,1391.03,34.6077
3,8.45887,568.904,54.8429
4,8.45887,1724.67,30.277
5,8.45887,1724.67,48.199
6,8.45887,1724.67,68.0589
7,8.45887,571.2,39.5268
8,8.45887,195.911,28.4248
9,8.45887,376.245,34.9558
10,8.45887,571.2,27.0093
11,8.45887,1724.67,29.1718
12,8.45887,571.2,55.3206
13,8.45887,376.245,41.5644
14,8.45887,376.245,28.5349
15,8.45887,195.911,36.3273
16,8.45887,1724.67,18.6342
17,8.45887,1724.67,38.6568
18,8.45887,1724.67,58.519
19,8.45887,1724.67,61.1154
20,8.45887,1724.67,42.1027
21,8.45887,195.911,40.7974
22,8.45887,1724.67,21.7239
23,8.45887,571.2,61.6952
24,8.45887,1724.67,35.9922
25,8.45887,444.365,52.7687
26,8.45887,1724.67,31.194
27,8.45887,1724.67,61.926
28,8.45887,195.911,53.5063
29,8.45887,571.2,30.8067
30,8.45887,1724.67,42.0691
31,8.45887,1724.67,45.8612
32,8.45887,1724.67,103.31
33,8.45887,571.2,55.8843
34,8.45887,1724.67,30.9831
35,8.45887,376.245,83.0948
36,8.45887,571.2,27.0338
37,8.45887,1724.67,29.3094
38,8.45887,195.911,43.0391
39,8.45887,1724.67,25.5578
40,8.45887,444.365,92.3675
41,8.45887,1724.67,31.1806
42,8.45887,1724.67,47.835
43,8.45887,1724.67,59.962
44,8.45887,571.2,86.4849
45,8.45887,1724.67,25.9029
46,8.45887,1724.67,72.8262
47,8.45887,376.245,45.144
48,8.45887,1724.67,26.5705
49,8.45887,1724.67,42.6926
