Gerneration,Depth average
1,3.84314
2,3.90196
3,3.82353
4,3.96078
5,3.7451
6,3.56863
7,3.90196
8,3.86275
9,3.56863
10,3.94118
11,3.82353
12,3.78431
13,3.88235
14,3.82353
15,3.84314
16,3.86275
17,3.86275
18,3.80392
19,3.92157
20,3.72549
21,3.86275
22,3.90196
23,3.86275
24,3.98039
25,3.80392
26,3.7451
27,3.70588
28,3.90196
29,3.86275
30,3.88235
31,3.80392
32,3.94118
33,3.78431
34,3.84314
35,3.88235
36,3.76471
37,3.90196
38,3.92157
39,3.80392
40,3.82353
41,3.82353
42,3.56863
43,3.86275
44,3.88235
45,3.94118
46,3.88235
47,3.88235
48,3.72549
49,3.82353
