Generation,Best,Worse,Average
1,13.0525,28.1307,6.95316e-310
2,13.0525,28.2598,16.2507
3,13.0525,28.2598,16.6455
4,13.0525,36.2029,16.4657
5,13.0525,36.2029,16.5744
6,13.0525,36.2029,16.3336
7,13.0525,36.2029,16.3643
8,13.0525,36.2029,16.3802
9,13.0525,36.2029,16.3557
10,13.0525,36.2029,1.57354e+12
11,13.0525,28.2598,16.7877
12,13.0525,36.2029,16.4885
13,13.0525,28.2598,16.5303
14,13.0525,36.2029,16.6538
15,13.0525,39.0976,16.3671
16,13.0525,36.2029,3.14708e+12
17,12.9802,36.2029,1.57354e+12
18,12.9802,36.2029,16.629
19,12.9802,28.9713,16.5487
20,12.9802,43.3463,16.8196
21,12.9802,43.3463,17.2135
22,12.9802,43.3463,17.1475
23,12.9802,43.3463,17.0137
24,12.4606,43.3463,17.29
25,12.4606,30.1816,17.2328
26,11.1481,30.1816,16.0766
27,11.1481,41.1956,16.4514
28,11.1481,41.1956,16.1593
29,11.1481,41.1956,16.1829
30,11.1481,41.1956,16.4132
31,11.1481,41.1956,1.72384e+12
32,11.1481,41.1956,15.5979
33,11.1481,41.1956,16.2445
34,11.1481,41.1956,16.1843
35,11.1481,41.1956,16.5832
36,11.1481,35.2005,16.458
37,11.1481,41.1956,1.72384e+12
38,11.1481,39.757,16.0619
39,11.1481,41.1956,16.7226
40,11.1481,41.1956,15.9224
41,11.1481,35.2005,15.9475
42,11.1481,41.1956,15.69
43,11.1481,41.1956,15.9353
44,11.1481,35.2005,16.1265
45,11.1481,41.1956,15.9063
46,11.1481,74.4339,15.9889
47,11.1481,41.1956,21.8184
48,10.2734,41.1956,16.0357
49,10.1334,50.3012,15.8358
50,10.1334,29.8296,12.3156
51,10.1334,24.0794,14.2987
52,10.1334,29.8296,14.0601
53,10.1334,29.8296,1.73865e+12
54,10.1334,29.8296,13.727
55,10.1334,32.2711,13.9454
56,10.1334,29.8296,14.0282
57,10.1334,29.8296,13.9439
58,10.1334,29.8296,13.941
59,10.1334,29.8296,14.0279
60,10.1334,45.4237,13.769
61,10.1334,29.8296,1.73865e+12
62,10.1334,29.8296,1.73865e+12
63,10.1334,24.0794,14.1246
64,10.1334,45.4237,14.0284
65,10.1334,29.8296,1.73865e+12
66,10.1334,29.8296,13.9292
67,10.1334,29.8296,13.7645
68,10.1334,24.0794,13.6567
69,10.1334,45.4237,13.8658
70,10.1334,29.8296,13.9195
71,10.1334,45.4237,14.2863
72,10.1334,29.8296,1.73865e+12
73,10.1334,29.8296,14.2119
74,10.1334,24.0794,13.6576
75,10.1334,27.0444,13.7013
76,10.1334,24.0794,13.696
77,10.1334,26.0812,13.6858
78,10.1334,27.0444,14.0912
79,10.1334,32.2711,1.73865e+12
80,10.1334,45.4237,1.73865e+12
81,10.1334,27.0444,1.73865e+12
82,10.1334,32.2711,1.73865e+12
83,10.1334,24.0794,14.0159
84,10.1334,26.0812,13.964
85,10.1334,24.0794,13.8368
86,10.1334,27.0444,14.0655
87,10.1334,45.4237,1.73865e+12
88,10.1334,29.8296,1.73865e+12
89,10.1334,29.8296,14.3252
90,10.1334,29.8296,13.587
91,10.1334,29.8296,14.3109
92,10.1334,29.8296,13.9583
93,10.1334,29.8296,1.73865e+12
94,10.1334,29.8296,14.065
95,10.1334,32.2711,14.2718
96,10.1334,45.4237,1.73865e+12
97,10.1334,29.8296,13.9687
98,10.1334,29.8296,14.3148
99,10.1334,29.8296,13.8791
