Generation,Diversity
1,70
2,57
3,48
4,37
5,24
6,20
7,14
8,14
9,15
10,13
11,21
12,19
13,22
14,23
15,23
16,22
17,19
18,21
19,18
20,18
21,16
22,16
23,17
24,17
25,12
26,16
27,16
28,12
29,10
30,8
31,8
32,9
33,10
34,6
35,7
36,7
37,10
38,7
39,7
40,9
41,10
42,9
43,9
44,8
45,10
46,7
47,9
48,8
49,11
50,7
51,8
52,8
53,8
54,5
55,7
56,5
57,6
58,7
59,7
60,7
61,6
62,8
63,7
64,13
65,11
66,15
67,11
68,10
69,11
70,9
71,9
72,8
73,9
74,6
75,5
76,5
77,9
78,5
79,5
80,5
81,8
82,8
83,7
84,7
85,7
86,5
87,6
88,6
89,6
90,9
91,8
92,7
93,7
94,6
95,9
96,13
97,9
98,8
99,8
