Gerneration,Depth average
1,3.72549
2,2.76471
3,2.78431
4,2.88235
5,2.7451
6,2.84314
7,2.76471
8,2.84314
9,2.88235
10,2.76471
11,2.82353
12,2.76471
13,2.84314
14,2.84314
15,2.78431
16,2.76471
17,2.82353
18,2.88235
19,2.80392
20,2.72549
21,2.80392
22,2.82353
23,2.84314
24,2.78431
25,2.80392
26,2.80392
27,2.72549
28,2.90196
29,2.80392
30,2.82353
31,2.86275
32,2.80392
33,2.80392
34,2.80392
35,2.86275
36,2.72549
37,2.84314
38,2.80392
39,2.84314
40,2.84314
41,2.78431
42,2.72549
43,2.82353
44,2.88235
45,2.82353
46,2.78431
47,2.78431
48,2.7451
49,2.80392
50,2.84314
51,2.72549
52,2.84314
53,2.70588
54,2.76471
55,2.80392
56,2.78431
57,2.80392
58,2.76471
59,2.80392
60,2.70588
61,2.7451
62,2.84314
63,2.78431
64,2.72549
65,2.78431
66,2.78431
67,2.80392
68,2.84314
69,2.72549
70,2.88235
71,2.92157
72,2.76471
73,2.78431
74,2.80392
75,2.7451
76,2.80392
77,2.76471
78,2.82353
79,2.76471
80,2.7451
81,2.80392
82,2.84314
83,2.78431
84,2.80392
85,2.78431
86,2.7451
87,2.78431
88,2.80392
89,2.76471
90,2.82353
91,2.7451
92,2.70588
93,2.86275
94,2.80392
95,2.80392
96,2.80392
97,2.70588
98,2.80392
99,2.78431
100,2.78431
101,2.86275
102,2.76471
103,2.70588
104,2.78431
105,2.78431
106,2.84314
107,2.76471
108,2.86275
109,2.82353
110,2.78431
111,2.80392
112,2.84314
113,2.80392
114,2.7451
115,2.78431
116,2.70588
117,2.78431
118,2.76471
119,2.7451
120,2.80392
121,2.80392
122,2.82353
123,2.80392
124,2.82353
125,2.92157
126,2.78431
127,2.86275
128,2.76471
129,2.86275
130,2.82353
131,2.80392
132,2.84314
133,2.80392
134,2.80392
135,2.80392
136,2.78431
137,2.78431
138,2.82353
139,2.78431
140,2.80392
141,2.78431
142,2.80392
143,2.84314
144,2.7451
145,2.80392
146,2.7451
147,2.82353
148,2.86275
149,2.78431
150,2.82353
151,2.86275
152,2.78431
153,2.84314
154,2.7451
155,2.90196
156,2.84314
157,2.82353
158,2.80392
159,2.70588
160,2.82353
161,2.80392
162,2.68627
163,2.82353
164,2.78431
165,2.82353
166,2.76471
167,2.82353
168,2.80392
169,2.7451
170,2.86275
171,2.78431
172,2.82353
173,2.78431
174,2.80392
175,2.86275
176,2.80392
177,2.7451
178,2.80392
179,2.76471
180,2.82353
181,2.70588
182,2.82353
183,2.84314
184,2.80392
185,2.86275
186,2.78431
187,2.72549
188,2.78431
189,2.7451
190,2.78431
191,2.82353
192,2.70588
193,2.78431
194,2.76471
195,2.80392
196,2.7451
197,2.78431
198,2.90196
199,2.70588
200,2.76471
201,2.7451
202,2.72549
203,2.82353
204,2.78431
205,2.82353
206,2.7451
207,2.80392
208,2.70588
209,2.88235
210,2.88235
211,2.78431
212,2.82353
213,2.80392
214,2.78431
215,2.80392
216,2.78431
217,2.88235
218,2.80392
219,2.72549
220,2.68627
221,2.7451
222,2.84314
223,2.72549
224,2.78431
225,2.82353
226,2.80392
227,2.70588
228,2.78431
229,2.78431
230,2.84314
231,2.80392
232,2.78431
233,2.80392
234,2.7451
235,2.80392
236,2.80392
237,2.82353
238,2.82353
239,2.84314
240,2.72549
241,2.82353
242,2.80392
243,2.84314
244,2.80392
245,2.66667
246,2.76471
247,2.78431
248,2.84314
249,2.76471
250,2.72549
251,2.76471
252,2.7451
253,2.78431
254,2.86275
255,2.72549
256,2.78431
257,2.80392
258,2.82353
259,2.76471
260,2.80392
261,2.84314
262,2.82353
263,2.78431
264,2.7451
265,2.76471
266,2.90196
267,2.82353
268,2.86275
269,2.78431
270,2.82353
271,2.76471
272,2.76471
273,2.78431
274,2.80392
275,2.78431
276,2.84314
277,2.82353
278,2.76471
279,2.80392
280,2.80392
281,2.78431
282,2.76471
283,2.78431
284,2.82353
285,2.84314
286,2.76471
287,2.82353
288,2.78431
289,2.68627
290,2.88235
291,2.82353
292,2.80392
293,2.7451
294,2.7451
295,2.7451
296,2.7451
297,2.64706
298,2.80392
299,2.80392
300,2.76471
301,2.78431
302,2.86275
303,2.76471
304,2.76471
305,2.82353
306,2.80392
307,2.80392
308,2.80392
309,2.7451
310,2.84314
311,2.78431
312,2.76471
313,2.82353
314,2.80392
315,2.88235
316,2.88235
317,2.88235
318,2.78431
319,2.82353
320,2.7451
321,2.88235
322,2.70588
323,2.80392
324,2.82353
325,2.68627
326,2.82353
327,2.70588
328,2.76471
329,2.72549
330,2.78431
331,2.76471
332,2.70588
333,2.78431
334,2.7451
335,2.86275
336,2.80392
337,2.84314
338,2.80392
339,2.76471
340,2.82353
341,2.76471
342,2.82353
343,2.76471
344,2.78431
345,2.82353
346,2.72549
347,2.86275
348,2.84314
349,2.80392
350,2.84314
351,2.86275
352,2.72549
353,2.90196
354,2.76471
355,2.76471
356,2.78431
357,2.78431
358,2.84314
359,2.82353
360,2.80392
361,2.88235
362,2.78431
363,2.84314
364,2.78431
365,2.82353
366,2.72549
367,2.78431
368,2.82353
369,2.78431
370,2.78431
371,2.78431
372,2.78431
373,2.82353
374,2.84314
375,2.72549
376,2.82353
377,2.72549
378,2.78431
379,2.78431
380,2.80392
381,2.80392
382,2.76471
383,2.78431
384,2.80392
385,2.76471
386,2.76471
387,2.72549
388,2.84314
389,2.86275
390,2.82353
391,2.80392
392,2.84314
393,2.86275
394,2.82353
395,2.76471
396,2.7451
397,2.72549
398,2.86275
399,2.84314
400,2.82353
401,2.78431
402,2.82353
403,2.82353
404,2.78431
405,2.82353
406,2.86275
407,2.7451
408,2.70588
409,2.86275
410,2.7451
411,2.86275
412,2.78431
413,2.78431
414,2.82353
415,2.7451
416,2.80392
417,2.7451
418,2.7451
419,2.84314
420,2.70588
421,2.7451
422,2.78431
423,2.86275
424,2.82353
425,2.78431
426,2.88235
427,2.84314
428,2.80392
429,2.78431
430,2.80392
431,2.82353
432,2.80392
433,2.76471
434,2.78431
435,2.72549
436,2.84314
437,2.78431
438,2.84314
439,2.86275
440,2.84314
441,2.78431
442,2.84314
443,2.86275
444,2.80392
445,2.82353
446,2.82353
447,2.82353
448,2.84314
449,2.78431
450,2.7451
451,2.86275
452,2.78431
453,2.80392
454,2.88235
455,2.86275
456,2.76471
457,2.76471
458,2.86275
459,2.7451
460,2.82353
461,2.78431
462,2.76471
463,2.84314
464,2.7451
465,2.76471
466,2.72549
467,2.82353
468,2.78431
469,2.78431
470,2.72549
471,2.82353
472,2.70588
473,2.68627
474,2.76471
475,2.76471
476,2.88235
477,2.72549
478,2.76471
479,2.78431
480,2.7451
481,2.84314
482,2.82353
483,2.80392
484,2.7451
485,2.84314
486,2.76471
487,2.78431
488,2.80392
489,2.82353
490,2.82353
491,2.90196
492,2.7451
493,2.76471
494,2.76471
495,2.76471
496,2.7451
497,2.66667
498,2.80392
499,2.78431
