Generation,Best,Worse,Average
1,17.1705,120.381,6.95265e-310
2,17.1705,26.3895,23.2942
3,17.1705,33.3564,19.003
4,17.1705,24.2016,19.043
5,17.1705,33.3564,19.0645
6,17.1705,120.381,19.1043
7,17.1705,33.3564,20.6602
8,17.1705,22.6234,19.5519
9,17.1705,22.6234,19.2288
10,17.1705,22.6234,18.8806
11,17.1705,22.6234,18.926
12,14.0722,120.381,18.5125
13,14.0722,22.6234,21.1782
14,14.0722,44.6064,17.2313
15,14.0722,22.6234,17.1619
16,14.0722,22.6234,16.2397
17,14.0722,22.6234,17.0659
18,14.0722,22.6234,16.8864
19,14.0722,24.2016,17.216
20,14.0722,22.6234,17.0908
21,14.0722,22.6234,16.0601
22,14.0722,22.6234,17.115
23,14.0722,22.6234,16.951
24,14.0722,33.7295,16.8071
25,14.0722,22.6234,17.2755
26,14.0722,44.6064,16.1981
27,14.0722,22.6234,17.9281
28,14.0722,222.439,16.575
29,14.0722,22.6234,20.4693
30,14.0722,22.6234,17.078
31,14.0722,22.6234,16.8922
32,14.0722,22.6234,16.5452
33,14.0722,222.439,16.7225
34,14.0722,24.2016,20.6227
35,14.0722,222.439,16.5882
36,14.0722,44.6064,21.068
37,14.0722,44.6064,18.4431
38,14.0722,222.439,17.6469
39,14.0722,222.439,25.5007
40,14.0722,222.439,20.6678
41,14.0722,44.6064,20.4573
42,14.0722,222.439,17.3843
43,14.0722,22.6234,21.1886
44,14.0722,22.6234,16.719
45,14.0722,22.6234,16.8103
46,14.0722,22.6234,17.0423
47,14.0722,22.6234,17.549
48,14.0722,33.7295,16.6574
49,14.0722,222.439,16.9653
50,14.0722,22.6234,21.423
51,14.0722,33.7295,16.2766
52,14.0722,22.6234,17.4705
53,14.0722,22.6234,16.6604
54,14.0722,22.6234,16.3575
55,14.0722,22.6234,17.0925
56,14.0722,28.2967,16.3754
57,14.0722,22.6234,16.8478
58,14.0722,22.6234,16.7189
59,14.0722,22.6234,16.3835
60,14.0722,22.6234,16.5572
61,14.0722,22.6234,16.3836
62,14.0722,22.6234,16.5548
63,14.0722,50.8537,16.8782
64,14.0722,22.6234,18.5682
65,14.0722,22.6234,17.2218
66,14.0722,22.6234,16.707
67,14.0722,222.439,16.8984
68,14.0722,22.6234,25.2575
69,14.0722,22.6234,16.0399
70,14.0722,44.6064,15.7309
71,14.0722,50.8537,17.9859
72,14.0722,222.439,17.6755
73,14.0722,22.6234,20.8831
74,14.0722,24.2016,16.8747
75,14.0722,22.6234,16.9353
76,14.0722,22.6234,16.3192
77,14.0722,44.6064,16.0484
78,14.0722,22.6234,17.2286
79,14.0722,44.6064,17.3836
80,14.0722,24.2016,17.5388
81,14.0722,22.6234,16.6881
82,14.0722,44.6064,16.563
83,14.0722,44.6064,17.3903
84,14.0722,22.6234,17.218
85,14.0722,33.7295,15.7309
86,14.0722,22.6234,17.3066
87,14.0722,22.6234,16.4015
88,14.0722,50.8537,16.4075
89,14.0722,222.439,18.3267
90,14.0722,22.6234,20.3192
91,14.0722,22.6234,17.551
92,14.0722,712.048,17.0459
93,14.0722,44.6064,34.6638
94,14.0722,22.6234,15.7198
95,14.0722,22.6234,16.7071
96,14.0722,22.6234,16.4074
97,14.0722,222.439,17.0542
98,14.0722,222.439,21.0364
99,14.0722,222.439,21.2777
100,14.0722,22.6234,20.6286
101,14.0722,22.6234,16.5513
102,14.0722,22.6234,16.3956
103,14.0722,22.6234,16.663
104,14.0722,24.2016,16.719
105,14.0722,22.6234,17.0235
106,14.0722,33.7295,16.713
107,14.0722,22.6234,16.8631
108,14.0722,222.439,16.8984
109,14.0722,44.6064,20.8079
110,14.0722,22.6234,17.6046
111,14.0722,33.7295,17.5393
112,14.0722,24.2016,18.0922
113,14.0722,24.2016,17.0886
114,14.0722,44.6064,16.5999
115,14.0722,22.6234,17.3057
116,14.0722,22.6234,17.054
117,14.0722,44.6064,16.718
118,14.0722,24.2016,17.0932
119,14.0722,33.7295,16.7559
120,14.0722,50.8537,17.1163
121,14.0722,22.6234,16.968
122,14.0722,50.8537,16.8782
123,14.0722,44.6064,18.1791
124,14.0722,24.2016,17.1476
125,14.0722,22.6234,16.9662
126,14.0722,22.6234,16.7189
127,14.0722,33.7295,16.7069
128,14.0722,33.7295,17.4252
129,14.0722,22.6234,17.1163
130,14.0722,22.6234,16.5726
131,14.0722,24.2016,17.0518
132,14.0722,24.2016,17.5821
133,14.0722,222.439,16.9234
134,14.0722,22.6234,20.7724
135,14.0722,22.6234,16.713
136,14.0722,222.439,16.3955
137,14.0722,33.7295,20.9062
138,14.0722,24.2016,17.4135
139,14.0722,22.6234,16.7558
140,14.0722,22.6234,17.035
141,14.0722,22.6234,16.6453
142,14.0722,22.6234,17.557
143,14.0722,44.6064,16.9106
144,14.0722,22.6234,17.5315
145,14.0722,22.6234,17.2159
146,14.0722,222.439,16.0661
147,14.0722,22.6234,25.3847
148,14.0722,22.6234,17.0341
149,14.0722,22.6234,17.3895
150,14.0722,22.6234,16.8924
151,14.0722,44.6064,16.8685
152,14.0722,222.439,17.1618
153,14.0722,89.4883,20.9661
154,14.0722,24.2016,18.5388
155,14.0722,222.439,16.7499
156,14.0722,44.6064,20.1946
157,14.0722,22.6234,17.2998
158,14.0722,22.6234,17.0602
159,14.0722,33.7295,17.0483
160,14.0722,22.6234,17.7857
161,14.0722,22.6234,16.4073
162,14.0722,22.6234,16.7307
163,14.0722,222.439,16.7249
164,14.0722,22.6234,21.4987
165,14.0722,22.6234,16.8842
166,14.0722,22.6234,16.5073
167,14.0722,22.6234,16.5453
168,14.0722,222.439,17.0422
169,14.0722,24.2016,25.524
170,14.0722,24.2016,17.4263
171,14.0722,22.6234,17.4026
172,14.0722,33.7295,17.0131
173,14.0722,22.6234,17.0022
174,14.0722,22.6234,16.9353
175,14.0722,22.6234,16.2457
176,14.0722,22.6234,17.0708
177,14.0722,33.7295,16.6454
178,14.0722,44.6064,17.11
179,14.0722,44.6064,17.7364
180,14.0722,22.6234,17.6409
181,14.0722,50.8537,17.0482
182,14.0722,44.6064,17.6256
183,14.0722,22.6234,17.3213
184,14.0722,22.6234,16.9531
185,14.0722,22.6234,16.6179
186,14.0722,33.7295,17.204
187,14.0722,22.6234,17.6131
188,14.0722,222.439,16.7368
189,14.0722,44.6064,20.469
190,14.0722,222.439,17.7075
191,14.0722,33.7295,20.873
192,14.0722,22.6234,17.2839
193,14.0722,222.439,16.3954
194,14.0722,222.439,21.1337
195,14.0722,222.439,21.0893
196,14.0722,33.7295,21.7051
197,14.0722,44.6064,17.9227
198,14.0722,44.6064,17.0002
199,14.0722,22.6234,18.0443
200,14.0722,24.2016,17.2218
201,14.0722,44.6064,17.241
202,14.0722,44.6064,18.0756
203,14.0722,222.439,16.653
204,14.0722,222.439,20.6929
205,14.0722,222.439,20.9723
206,14.0722,22.6234,20.4694
207,14.0722,22.6234,17.2157
208,14.0722,222.439,16.5548
209,14.0722,44.6064,20.3075
210,14.0722,22.6234,17.5413
211,14.0722,222.439,16.5572
212,14.0722,22.6234,20.6489
213,14.0722,22.6234,17.0541
214,14.0722,22.6234,16.2647
215,14.0722,44.6064,16.8985
216,14.0722,22.6234,16.8301
217,14.0722,22.6234,17.0398
218,14.0722,22.6234,17.0481
219,14.0722,22.6234,15.8842
220,14.0722,22.6234,16.3717
221,14.0722,33.7295,16.5191
222,14.0722,33.7295,17.3208
223,14.0722,22.6234,17.159
224,14.0722,24.2016,16.4502
225,14.0722,44.6064,17.0993
226,14.0722,22.6234,18.1507
227,14.0722,33.7295,16.6119
228,14.0722,22.6234,17.4943
229,14.0722,22.6234,17.0483
230,14.0722,222.439,17.2338
231,14.0722,222.439,21.2141
232,14.0722,222.439,21.6394
233,14.0722,22.6234,25.3332
234,14.0722,222.439,17.2098
235,14.0722,24.2016,21.1397
236,14.0722,22.6234,16.5858
237,14.0722,22.6234,16.8984
238,14.0722,24.2016,17.3894
239,14.0722,222.439,17.1399
240,14.0722,22.6234,20.9973
241,14.0722,22.6234,17.1695
242,14.0722,24.2016,16.3836
243,14.0722,22.6234,17.4203
244,14.0722,22.6234,16.9807
245,14.0722,22.6234,17.3991
246,14.0722,222.439,16.8865
247,14.0722,22.6234,21.1337
248,14.0722,222.439,17.3776
