Generation,Best,Worse,Average
1,10.1334,552.666,6.95316e-310
2,10.1334,23.7109,13.5084
3,10.1334,552.666,12.4349
4,10.1334,552.666,13.6331
5,10.1334,27.0444,13.7675
6,10.1334,552.666,12.537
7,10.1334,552.666,14.906
8,10.1334,552.666,14.5678
9,10.1334,552.666,14.8823
10,10.1334,552.666,13.5589
11,10.1334,552.666,14.8106
12,10.1334,23.7109,13.8773
13,10.1334,552.666,12.2816
14,10.1334,552.666,13.7646
15,10.1334,27.0444,13.6423
16,10.1334,552.666,12.5077
17,10.1334,27.0444,14.6074
18,10.1334,27.0444,1.73865e+12
19,10.1334,27.0444,12.6026
20,10.1334,27.0444,12.3979
21,10.1334,552.666,12.4918
22,10.1334,552.666,15.7642
23,10.1334,27.0444,13.5925
24,10.1334,552.666,12.6272
25,10.1334,552.666,13.6238
26,10.1334,27.0444,14.6592
27,10.1334,27.0444,12.5741
28,10.1334,29.8296,12.829
29,10.1334,552.666,12.5612
30,10.1334,552.666,13.6057
31,10.1334,552.666,13.6096
32,10.1334,27.0444,13.6092
33,10.1334,23.4549,12.6265
34,10.1334,552.666,12.414
35,10.1334,552.666,13.5554
36,10.1334,27.0444,13.7994
37,10.1334,552.666,12.3836
38,10.1334,552.666,13.849
39,10.1334,552.666,13.3643
40,10.1334,552.666,13.8734
41,10.1334,29.8296,15.7349
42,10.1334,552.666,12.6406
43,10.1334,27.0444,13.7454
44,10.1334,27.0444,12.6736
45,10.1334,27.0444,12.6605
46,10.1334,23.7109,12.5503
47,10.1334,27.0444,12.4661
48,10.1334,552.666,12.7388
49,10.1334,24.4166,13.753
50,10.1334,27.0444,15.0268
51,10.1334,552.666,12.5179
52,10.1334,45.4237,13.7145
53,10.1334,23.4549,12.686
54,10.1334,27.0444,12.4974
55,10.1334,552.666,12.9153
56,10.1334,552.666,13.7341
57,10.1334,32.2711,13.4547
58,10.1334,552.666,12.7222
59,10.1334,45.4237,13.6214
60,10.1334,552.666,12.6874
61,10.1334,552.666,13.5025
62,10.1334,552.666,13.6551
63,10.1334,552.666,13.4944
64,10.1334,27.0444,13.5922
65,10.1334,23.7109,12.3323
66,10.1334,552.666,12.4196
67,10.1334,32.2711,13.6083
68,10.1334,29.8296,12.5435
69,10.1334,27.0444,12.5141
70,10.1334,552.666,12.7782
71,10.1334,552.666,13.5227
72,10.1334,27.0444,15.8899
73,10.1334,552.666,12.5017
74,10.1334,23.7109,13.7224
75,10.1334,552.666,12.5089
76,10.1334,23.7109,13.4653
77,10.1334,32.2711,12.8323
78,10.1334,27.0444,12.3472
79,10.1334,22.6534,12.8219
80,10.1334,552.666,12.2315
81,10.1334,552.666,14.6203
82,10.1334,27.0444,13.4985
83,10.1334,552.666,12.4723
84,10.1334,45.4237,13.3258
85,10.1334,27.0444,12.6074
86,10.1334,552.666,12.2288
87,10.1334,27.0444,14.561
88,10.1334,552.666,12.5216
89,10.1334,552.666,14.5194
90,10.1334,552.666,13.7212
91,10.1334,27.0444,13.6673
92,10.1334,27.0444,12.6122
93,10.1334,27.0444,12.4485
94,10.1334,552.666,12.6823
95,10.1334,552.666,13.4816
96,10.1334,552.666,14.7803
97,10.1334,552.666,13.6595
98,10.1334,552.666,14.0525
99,10.1334,552.666,13.6746
