Generation,Best,Worse,Average
1,16.9218,15359.4,6.95321e-310
2,16.9218,70.9163,191.574
3,17.3941,1991.89,22.459
4,18.6228,39.4921,9.82432e+12
5,18.6228,30.3759,20.812
6,18.6228,28.5916,20.1436
7,18.6228,22.3222,19.5315
8,18.6228,22.3222,19.1451
9,18.537,23.9934,19.0352
10,18.537,30.5076,19.1295
11,18.537,30.3759,19.55
12,18.537,29.6193,19.2957
13,18.537,30.3716,19.1141
14,18.537,23.9934,19.2469
15,18.537,23.9934,19.097
16,18.537,31.311,19.0284
17,18.537,31.4858,19.662
18,18.537,31.311,19.2196
19,18.537,30.5076,19.5586
20,18.537,30.5076,19.1144
21,18.537,31.311,19.3778
22,18.537,31.311,19.143
23,18.537,27.3906,19.0688
24,18.537,30.5076,19.049
25,18.537,31.311,19.0492
26,18.537,30.5076,18.9482
27,18.537,30.5076,19.226
28,18.537,30.5076,19.1743
29,18.537,30.5076,19.2349
30,18.537,21.4693,19.3692
31,18.537,30.5076,19.102
32,18.537,30.5076,19.3553
33,18.537,30.5076,19.2337
34,18.537,31.311,19.2515
35,18.537,23.7414,19.2851
36,18.537,21.4693,18.8016
37,18.537,30.5076,19.0178
38,18.537,30.5076,19.2662
39,18.537,30.5076,19.1783
40,18.537,21.4693,19.5972
41,18.537,31.4858,18.9729
42,18.537,30.5076,19.1763
43,18.537,23.7414,19.1587
44,18.537,30.5285,18.9146
45,18.537,30.5076,19.1612
46,18.537,30.5076,19.0594
47,18.537,30.5076,18.9831
48,18.537,30.5076,19.0317
49,18.537,31.311,18.9137
50,18.537,31.311,19.1696
51,18.537,30.5076,18.8982
52,18.537,31.4858,19.1455
53,18.537,30.5076,19.3379
54,18.537,30.5076,19.4728
55,18.537,21.4693,19.1963
56,18.537,27.3906,18.7765
57,18.537,31.311,19.078
58,18.537,30.5076,19.5297
59,18.537,30.5076,19.0536
60,18.537,30.5076,19.2147
61,18.537,30.5076,18.9804
62,18.537,30.5076,19.2006
63,18.537,30.5076,19.3193
64,18.537,30.5076,19.2078
65,18.537,30.5076,19.1819
66,18.537,31.311,19.2053
67,18.537,30.5076,19.1427
68,18.537,30.5076,19.0687
69,18.537,30.5076,19.111
70,18.537,31.311,18.979
71,18.537,33.1963,19.3678
72,18.537,30.5076,19.1677
73,18.537,30.5076,19.3726
74,18.537,30.5076,19.192
75,18.537,31.311,19.6785
76,18.537,30.5076,19.3653
77,18.537,30.5076,18.8937
78,18.537,30.5076,19.2522
79,18.537,33.1963,19.2616
80,18.537,31.311,19.4068
81,18.537,30.9863,19.1231
82,18.537,30.5076,19.406
83,18.537,30.5076,19.5642
84,18.537,30.5076,19.2965
85,18.537,31.311,19.1775
86,18.537,30.5076,19.151
87,18.537,30.5076,19.1613
88,18.537,31.4708,19.0522
89,18.537,30.5076,19.1712
90,18.537,30.5076,18.9546
91,18.537,21.4693,19.397
92,18.537,30.5076,19.1099
93,18.537,30.5076,18.9843
94,18.537,23.7414,19.1546
95,18.537,30.5076,19.0343
96,18.537,30.5076,19.2036
97,18.537,30.5076,18.9704
98,18.537,30.5076,19.2384
99,18.537,31.4858,19.5605
