Gerneration,Depth average
1,2.86275
2,2.76471
3,2.76471
4,2.80392
5,2.78431
6,2.72549
7,2.7451
8,2.78431
9,2.82353
10,2.78431
11,2.72549
12,2.86275
13,2.7451
14,2.78431
15,2.76471
16,2.72549
17,2.80392
18,2.80392
19,2.84314
20,2.7451
21,2.80392
22,2.78431
23,2.82353
24,2.70588
25,2.82353
26,2.86275
27,2.78431
28,2.78431
29,2.76471
30,2.78431
31,2.84314
32,2.80392
33,2.82353
34,2.82353
35,2.7451
36,2.84314
37,2.72549
38,2.72549
39,2.76471
40,2.80392
41,2.80392
42,2.7451
43,2.78431
44,2.78431
45,2.70588
46,2.80392
47,2.84314
48,2.78431
49,2.76471
50,2.82353
51,2.72549
52,2.72549
53,2.78431
54,2.86275
55,2.72549
56,2.7451
57,2.82353
58,2.82353
59,2.7451
60,2.68627
61,2.76471
62,2.70588
63,2.70588
64,2.72549
65,2.72549
66,2.76471
67,2.72549
68,2.76471
69,2.7451
70,2.82353
71,2.80392
72,2.76471
73,2.72549
74,2.66667
75,2.78431
76,2.80392
77,2.72549
78,2.76471
79,2.76471
80,2.78431
81,2.76471
82,2.82353
83,2.7451
84,2.7451
85,2.7451
86,2.76471
87,2.76471
88,2.80392
89,2.78431
90,2.72549
91,2.72549
92,2.7451
93,2.70588
94,2.68627
95,2.68627
96,2.7451
97,2.82353
98,2.84314
99,2.70588
