Generation,Best,Worse,Average
1,13.1314,712.3,6.95295e-310
2,13.1314,110.406,17.5412
3,13.1314,51.6375,14.9295
4,13.1314,110.406,14.2253
5,13.1314,110.406,14.3901
6,13.1314,110.406,14.8715
7,13.1314,51.6375,14.6812
8,13.1314,110.406,14.3946
9,13.1314,110.406,14.6065
10,13.1314,110.406,14.3428
11,13.1314,110.406,14.2829
12,13.1314,51.6375,14.2959
13,13.1314,26.4143,14.3378
14,13.1314,110.406,14.2179
15,13.1314,83.659,14.5243
16,13.1314,89.8728,14.3113
17,13.1314,51.6375,14.439
18,13.1314,51.6375,14.2637
19,13.1314,51.6375,14.3868
20,13.1314,110.406,14.1003
21,13.1314,51.6375,14.4424
22,13.1314,110.406,14.3395
23,13.1314,51.6375,14.4441
24,13.1314,21.4693,14.2727
25,13.1314,110.406,14.0349
26,12.9318,110.406,14.3497
27,12.9318,51.4486,14.4204
28,12.9318,117.78,14.3249
29,12.8511,51.4486,14.3902
30,12.6908,51.8483,14.5102
31,12.262,33.7128,14.0955
32,12.262,56.5537,13.8811
33,12.262,56.5537,14.1244
34,12.262,56.5537,13.6546
35,11.6739,34.2009,13.7803
36,11.4518,60.1768,206564
37,11.4518,55.553,13.6963
38,11.4518,55.553,13.5647
39,11.4518,59.4254,13.7237
40,11.4518,55.553,13.8216
41,11.4518,55.553,13.4366
42,11.4518,59.4254,13.786
43,11.4518,89.2356,13.5786
44,11.4518,55.553,13.6491
45,11.4518,55.553,13.7473
46,11.4518,55.553,13.4787
47,11.4518,55.553,13.6385
48,11.4518,59.4254,13.5188
49,11.4518,55.553,13.6358
