Generation,Best,Worse,Average
1,19.0583,22.6534,6.95288e-310
2,18.8827,22.6534,20.0852
3,18.8827,33.5127,19.8054
4,18.8827,22.6534,19.9642
5,18.8827,22.6534,19.6149
6,18.8827,22.6534,19.9239
7,18.8827,22.6534,19.8391
8,18.5985,22.6534,19.8309
9,18.5712,25.6749,19.7986
10,18.5712,25.6749,20.4624
11,18.5712,25.6749,19.6891
12,18.5712,25.6749,19.9812
13,18.5712,25.6749,19.8318
14,18.5712,25.6749,19.7719
15,18.5712,49.8802,20.136
16,18.5712,25.6749,20.2684
17,18.5712,49.8802,19.798
18,18.5712,25.6749,20.2064
19,18.5712,25.6749,20.1528
20,18.5712,25.6749,19.8259
21,18.5712,25.6749,19.9265
22,18.5712,25.6749,20.2483
23,18.5712,25.6749,20.3432
24,18.5712,25.6749,20.0908
25,18.5712,25.6749,19.9083
26,18.5712,25.6749,19.7446
27,18.5712,25.6749,19.8707
28,18.5712,25.6749,19.9994
29,18.5712,25.6749,19.949
30,18.5712,25.6749,19.7661
31,18.5712,25.6749,19.8355
32,18.5712,25.6749,19.8153
33,18.5712,25.6749,19.889
34,18.5712,25.6749,19.7365
35,18.5712,25.6749,19.8683
36,18.5712,25.6749,20.1656
37,18.5712,25.6749,20.0584
38,18.5712,25.6749,19.9902
39,18.5712,49.8802,19.8762
40,18.5712,25.6749,20.1469
41,18.5712,25.6749,19.974
42,18.5712,49.8802,19.9986
43,18.5712,25.6749,20.6656
44,18.5712,25.6749,19.8678
45,18.5712,25.6749,19.4821
46,18.5712,25.6749,19.8842
47,18.5712,25.6749,19.8398
48,18.5712,25.6749,19.8927
49,18.5712,25.6749,19.8795
50,18.5712,49.8802,19.7379
51,18.5712,25.6749,19.8011
52,18.5712,25.6749,19.9671
53,18.5712,25.6749,19.6704
54,18.5712,25.6749,19.9798
55,18.5712,25.6749,19.8853
56,18.5712,25.6749,20.4365
57,18.5712,49.8802,19.8934
58,18.5712,25.6749,19.9626
59,18.5712,25.6749,19.6274
60,18.5712,25.6749,19.7315
61,18.5712,25.6749,19.9312
62,18.5712,25.6749,19.9723
63,18.5712,25.6749,19.7725
64,18.5712,25.6749,20.3087
65,18.5712,25.6749,20.2396
66,18.5712,25.6749,19.7319
67,18.5712,25.6749,19.9282
68,18.5712,25.6749,20.1636
69,18.5712,49.8802,19.9951
70,18.5712,25.6749,20.2623
71,18.5712,25.6749,20.0303
72,18.5712,25.6749,20.121
73,18.5712,25.6749,19.7331
74,18.5712,25.6749,20.0851
75,18.5712,25.6749,19.7572
76,18.5712,25.6749,20.0789
77,18.5712,49.8802,19.7216
78,18.5712,49.8802,20.4357
79,18.5712,25.6749,20.2172
80,18.5712,25.6749,20.0019
81,18.5712,25.6749,19.8274
82,18.5712,49.8802,19.8606
83,18.5712,25.6749,20.2707
84,18.5712,25.6749,19.739
85,18.5712,25.6749,19.7177
86,18.5712,25.6749,20.0783
87,18.5712,25.6749,19.8975
88,18.5712,49.8802,20.0466
89,18.5712,25.6749,20.2724
90,18.5712,25.6749,19.6696
91,18.5712,25.6749,20.2612
92,18.5712,25.6749,19.7318
93,18.5712,25.6749,19.7082
94,18.5712,25.6749,19.7132
95,18.5712,49.8802,20.026
96,18.5712,25.6749,19.925
97,18.5712,25.6749,19.4756
98,18.5712,25.6749,19.6957
99,18.5712,25.6749,20.1744
