Generation,Best,Worse,Average
1,15.3697,147.015,6.95295e-310
2,15.3697,76.8272,19.6027
3,15.3697,101.143,17.4352
4,15.3697,101.143,18.3515
5,15.3697,76.8272,17.397
6,15.3697,101.143,18.4069
7,15.3697,76.8272,17.681
8,15.3697,76.8272,17.997
9,15.3697,76.8272,17.8411
10,15.3697,76.8272,17.4061
11,15.3697,101.143,17.4476
12,15.3697,76.8272,17.8501
13,15.3697,76.8272,17.7829
14,15.3697,76.8272,16.9096
15,15.3697,101.143,17.435
16,15.3697,76.8272,17.6379
17,15.3697,101.143,17.5273
18,15.3697,101.143,18.0384
19,15.3697,76.8272,17.7919
20,15.3697,76.8272,17.2283
21,15.3697,76.8272,17.3884
22,11.1376,101.143,17.7473
23,11.1376,79.4502,17.7796
24,11.1376,79.4502,15.1138
25,11.1376,79.4502,15.8118
26,11.1376,79.4502,14.9089
27,11.1376,79.4502,15.4308
28,11.1376,79.4502,14.685
29,11.1376,79.4502,14.959
30,11.1376,79.4502,14.7819
31,11.1376,79.4502,15.2954
32,11.1376,79.4502,14.8864
33,11.1376,79.4502,15.1417
34,11.1376,79.4502,14.4949
35,11.1376,79.4502,15.8099
36,11.1376,1187.06,14.8367
37,11.1376,79.4502,17.6499
38,11.1376,79.4502,14.4877
39,11.1376,92.7321,15.6645
40,11.1376,79.4502,14.9494
41,11.1376,79.4502,14.5823
42,11.1376,79.4502,15.121
43,11.1376,79.4502,14.9058
44,11.1376,79.4502,14.946
45,11.1376,79.4502,15.3816
46,11.1376,79.4502,14.7602
47,11.1376,147.369,14.1973
48,11.1376,79.4502,15.669
49,11.1376,79.4502,15.0641
