Generation,Best,Worse,Average
1,18.8018,23.2165,6.95258e-310
2,18.8018,33.5201,19.754
3,18.8018,24.5716,20.0425
4,18.8018,23.2165,20.2999
5,18.8018,23.2165,19.9271
6,18.8018,23.2165,19.5878
7,18.8018,33.5201,19.8952
8,18.8018,23.2165,20.1291
9,18.8018,33.5201,19.754
10,18.8018,31.1244,20.3022
11,18.8018,24.051,20.1687
12,18.8018,23.2165,19.9309
13,18.8018,31.1244,19.8405
14,18.8018,24.5716,20.0641
15,18.8018,23.2165,20.0668
16,18.8018,31.1244,19.4943
17,18.8018,23.2165,20.0821
18,18.8018,31.1244,19.8279
19,18.8018,23.2165,20.1958
20,18.8018,23.2165,19.6674
21,18.8018,24.5716,19.754
22,18.8018,23.2165,20.0402
23,18.8018,23.2165,19.6674
24,18.8018,23.2165,19.4077
25,18.8018,23.2165,20.2733
26,18.8018,23.2165,20.0136
27,18.8018,23.2165,19.9089
28,18.8018,33.5201,19.9271
29,18.8018,23.2165,20.0425
30,18.8018,31.1244,19.6548
31,18.8018,23.2165,20.2234
32,18.8018,31.1244,19.6355
33,18.8018,31.1244,20.1756
34,18.8018,23.2165,19.5628
35,18.8018,23.2165,20.0876
36,18.8018,23.2165,19.6674
37,18.8018,31.1244,19.6674
38,18.8018,33.5201,20.4713
39,18.8018,23.2165,19.956
40,18.8018,24.5716,19.8405
41,18.8018,23.2165,19.97
42,18.8018,23.2165,19.754
43,18.8018,24.5716,19.754
44,18.8018,31.1244,20.1142
45,18.8018,23.2165,19.5628
46,18.8018,23.2165,19.754
47,18.8018,31.1244,19.6674
48,18.8018,31.1244,20.2553
49,18.8018,31.1244,19.7233
