Generation,Diversity
1,66
2,45
3,41
4,31
5,26
6,23
7,22
8,23
9,22
10,26
11,26
12,26
13,29
14,29
15,34
16,35
17,29
18,29
19,27
20,33
21,35
22,37
23,38
24,32
25,34
26,39
27,31
28,35
29,39
30,37
31,33
32,36
33,32
34,37
35,36
36,31
37,37
38,36
39,35
40,38
41,35
42,36
43,35
44,35
45,35
46,37
47,38
48,38
49,37
50,32
51,32
52,30
53,35
54,31
55,32
56,40
57,31
58,38
59,36
60,30
61,27
62,33
63,31
64,27
65,27
66,25
67,23
68,27
69,28
70,30
71,26
72,30
73,26
74,24
75,22
76,22
77,21
78,26
79,19
80,24
81,21
82,24
83,23
84,26
85,26
86,28
87,22
88,24
89,22
90,20
91,22
92,24
93,26
94,28
95,25
96,26
97,24
98,23
99,28
