Generation,Best,Worse,Average
1,13.0336,13199,6.95295e-310
2,12.5456,1866.55,50.6935
3,12.5456,13697.4,25.7336
4,12.5456,1711.84,167.792
5,12.5456,13485.5,24.3962
6,12.3599,5394.24,56.6572
7,9.58965,1504.55,32.2455
8,8.39302,4559.13,24.9204
9,8.39302,4559.28,28.5639
10,8.31351,7325.93,24.8813
11,8.25507,7168.76,32.5384
12,8.25507,47.571,55.9159
13,8.25507,47.571,13.8705
14,8.25507,47.571,13.3308
15,8.25507,47.571,13.6542
16,8.25507,47.571,13.8449
17,8.25507,47.571,13.9839
18,8.25507,47.571,13.2909
19,8.25507,47.571,13.0706
20,8.25507,47.571,13.422
21,8.25507,47.571,13.694
22,8.25507,47.571,14.3504
23,8.25507,47.571,13.5143
24,8.25507,47.571,13.2234
25,8.25507,47.571,13.7416
26,8.25507,47.571,13.1133
27,8.25507,47.571,14.1761
28,8.25507,47.571,13.3074
29,8.25507,47.571,13.1248
30,8.25507,47.571,13.818
31,8.25507,47.571,12.6899
32,8.25507,47.571,14.1877
33,8.25507,47.571,13.7556
34,8.25507,47.571,13.8333
35,8.25507,47.571,13.2693
36,8.25507,47.571,14.3321
37,8.25507,47.571,13.4871
38,8.25507,47.571,3.6475e+13
39,8.25507,47.571,13.89
40,8.23834,47.571,13.7443
41,8.23834,47.3879,13.7608
42,7.75683,47.3879,13.6266
43,7.75683,258.811,13.4211
44,7.75683,258.811,17.5808
45,7.75683,258.811,16.9879
46,7.75683,258.811,16.719
47,7.75683,258.811,17.5417
48,7.75683,258.811,16.8845
49,7.75683,258.811,17.1982
