Generation,Diversity
1,4
2,6
3,7
4,6
5,5
6,6
7,4
8,7
9,4
10,5
11,6
12,5
13,5
14,4
15,5
16,6
17,5
18,6
19,5
20,4
21,6
22,5
23,6
24,5
25,4
26,4
27,6
28,6
29,7
30,5
31,6
32,5
33,5
34,6
35,6
36,5
37,5
38,4
39,5
40,6
41,7
42,5
43,4
44,5
45,6
46,5
47,5
48,4
49,6
50,4
51,5
52,4
53,6
54,4
55,5
56,4
57,5
58,4
59,5
60,6
61,5
62,6
63,5
64,5
65,4
66,4
67,6
68,6
69,5
70,6
71,5
72,4
73,5
74,6
75,5
76,6
77,5
78,4
79,6
80,5
81,4
82,6
83,5
84,4
85,5
86,4
87,5
88,5
89,5
90,4
91,6
92,4
93,5
94,6
95,5
96,6
97,4
98,5
99,5
100,5
101,4
102,5
103,6
104,7
105,4
106,5
107,5
108,5
109,5
110,4
111,6
112,6
113,4
114,4
115,5
116,5
117,4
118,8
119,5
120,6
121,5
122,4
123,4
124,5
125,5
126,4
127,6
128,6
129,6
130,5
131,6
132,6
133,4
134,4
135,5
136,6
137,4
138,5
139,5
140,6
141,5
142,6
143,5
144,5
145,6
146,6
147,4
148,5
149,5
150,6
151,6
152,5
153,4
154,4
155,4
156,4
157,7
158,8
159,5
160,5
161,4
162,4
163,6
164,5
165,4
166,5
167,5
168,4
169,5
170,4
171,6
172,6
173,4
174,5
175,5
176,6
177,5
178,5
179,5
180,5
181,4
182,5
183,7
184,4
185,4
186,5
187,5
188,4
189,7
190,5
191,7
192,6
193,4
194,4
195,5
196,7
197,6
198,6
199,4
200,6
201,5
202,5
203,7
204,4
205,5
206,4
207,6
208,4
209,5
210,5
211,5
212,6
213,7
214,5
215,7
216,6
217,7
218,5
219,8
220,4
221,4
222,7
223,4
224,5
225,6
226,6
227,5
228,4
229,5
230,4
231,5
232,7
233,5
234,5
235,5
236,6
237,5
238,7
239,5
240,5
241,4
242,5
243,5
244,4
245,5
246,5
247,4
248,5
249,4
250,4
251,4
252,5
253,5
254,6
255,4
256,5
257,4
258,5
259,6
260,8
261,8
262,5
263,5
264,5
265,6
266,5
267,4
268,5
269,6
270,4
271,6
272,5
273,6
274,4
275,5
276,5
277,4
278,7
279,6
280,5
281,6
282,5
283,6
284,5
285,6
286,4
287,5
288,4
289,5
290,4
291,5
292,5
293,4
294,6
295,4
296,6
297,6
298,7
299,5
300,4
301,5
302,4
303,5
304,6
305,4
306,4
307,5
308,5
309,5
310,5
311,6
312,5
313,5
314,5
315,5
316,6
317,4
318,6
319,4
320,4
321,5
322,7
323,5
324,5
325,5
326,5
327,6
328,5
329,6
330,5
331,7
332,6
333,4
334,6
335,6
336,5
337,5
338,7
339,5
340,6
341,6
342,6
343,5
344,4
345,5
346,5
347,6
348,4
349,5
350,4
351,7
352,5
353,4
354,5
355,6
356,5
357,7
358,4
359,6
360,5
361,5
362,6
363,5
364,5
365,5
366,4
367,6
368,6
369,5
370,5
371,4
372,5
373,5
374,6
375,5
376,5
377,4
378,7
379,5
380,6
381,4
382,4
383,4
384,7
385,4
386,5
387,7
388,7
389,6
390,4
391,4
392,5
393,4
394,4
395,4
396,5
397,6
398,4
399,6
400,5
401,5
402,4
403,5
404,5
405,6
406,7
407,5
408,6
409,6
410,6
411,6
412,4
413,4
414,6
415,4
416,4
417,5
418,5
419,4
420,4
421,4
422,6
423,4
424,6
425,6
426,8
427,5
428,6
429,5
430,5
431,5
432,7
433,5
434,5
435,5
436,7
437,6
438,6
439,4
440,5
441,5
442,5
443,5
444,5
445,4
446,5
447,5
448,6
449,4
450,7
451,5
452,5
453,6
454,6
455,4
456,4
457,5
458,6
459,6
460,5
461,6
462,6
463,5
464,9
465,5
466,4
467,4
468,5
469,4
470,5
471,4
472,4
473,5
474,4
475,5
476,4
477,6
478,7
479,7
480,5
481,6
482,5
483,4
484,5
485,5
486,6
487,5
488,6
489,4
490,6
491,5
492,6
493,4
494,4
495,5
496,4
497,8
498,5
499,6
